,État,Marque,Date,nom,Prix,Description,keep,cat
48,NEUF SANS ÉTIQUETTE,ADIDAS,2022-04-09,T-SHIRT ADIDAS,25.0,"MAI INDOSSATA, COME IN FOTO
ZERO IMPERFEZIONI
COME NUOVA
VESTE LARGA",True,FastFashion
49,NEUF SANS ÉTIQUETTE,APESHIT,2022-04-03,T-SHIRT APESHIT SQUAD NOIR M,85.0,"PORTÉ UNE SEULE FOIS, TRÈS BON ÉTAT!!",True,Undefined
50,NEUF AVEC ÉTIQUETTE,PHILIPP PLEIN,2022-04-09,MAGNIFIQUE T-SHIRT PHILIP PLEIN,85.0,"NEUF AVEC ÉTIQUETTES. ALLEZ VOIR MON DRESSING.
JAMAIS PORTÉ.
TAILLE XL",True,UltraFashion
51,NEUF SANS ÉTIQUETTE,ONLY,2022-04-09,T-SHIRT ROSA VERO MODA + ORECCHINI ALYSS BIJOUX,15.0,"DELICATA T-SHIRT DAI TONI PASTELLO ROSA, ABBINATA A UN PAIO DI ORECCHINI CON PERLINE.
GLI ORECCHINI NON SONO MAI STATI INDOSSATI, MENTRE LA T- SHIRT SOLO UNA VOLTA, POI OVVIAMENTE LAVATA.",True,Undefined
52,NEUF AVEC ÉTIQUETTE,MERKLOOS,2022-04-09,T SHIRT LOVE,5.0,"T SHIRT 
S/M",True,Undefined
53,NEUF AVEC ÉTIQUETTE,OFF-WHITE,2022-03-31,T-SHIRT ROSSA OFF-WHITE CON CROCE SFUMATA,89.0,"T-SHIRT MAI INDOSSATA CON TUTTI I TAGHETTINI ANCORA 
BUONA VESTIBILITA E QUALITÀ SUPER 
CONTATTATEMI PER MAGGIORI INFORMAZIONI",True,UltraFashion
54,TRÈS BON ÉTAT,H&M,2022-04-09,T-SHIRT H&M,3.0,T-SHIRT H&M TAILLE XS,True,FastFashion
55,TRÈS BON ÉTAT,GIVENCHY,2022-04-09,T SHIRT GIVENCHY TAGLIA L,149.0,"INDOSSATA POCHISSIME VOLTE, COME NUOVA, PREZZO POCO TRATTABILE PERCHÉ GIÀ È REGALATA TAGLIA L ORIGINALISSIMA",True,UltraFashion
56,NEUF SANS ÉTIQUETTE,MY T-SHIRT,2022-04-09,LOTTO N. 5 MAGLIETTE UOMO NUOVE MY T-SHIRT,12.0,~ MATERIALE: COTONE ELASTICIZZATO NUOVA ~ MISURE: SPALLE CM 37 GIRO PETTO CM90 GIRO VITA CM 90 LUNGHEZZA CM 70,True,Undefined
57,NEUF AVEC ÉTIQUETTE,PHILIPP PLEIN,2022-04-09,T-SHIRT PHILIPP PLEIN,80.0,T-SHIRT PHILIPP PLEIN NEUF TAILLE S,True,UltraFashion
58,NEUF AVEC ÉTIQUETTE,PHILIPP PLEIN,2022-04-09,T-SHIRT PHILIPP PLEIN,80.0,T-SHIRT PHILIPP PLEIN NEUF TAILLE S,True,UltraFashion
59,NEUF AVEC ÉTIQUETTE,VALENTINO,2022-03-31,T SHIRT VALENTINO GARAVANI,230.0,"T SHIRT COMPRATA UNA SETTIMANA FA, MAI INDOSSATA VERAMENTE MAI,LA TENGO ANCORA IN BUSTA MAI LAVATA E MAI MESSA. MUNITA DI CARTELLINO FARFETCH.PER QUALUNQUE INFORMAZIONE O ULTERIORI FOTO CONTATTATEMI IN PRIVATO.",True,UltraFashion
60,TRÈS BON ÉTAT,LEVI'S,2022-03-31,LEVI’S T-SHIRT,10.0,ZIET ER NOG PERFECT UIT! AMPER GEDRAGEN.,True,FastFashion
61,NEUF SANS ÉTIQUETTE,OFF-WHITE,2022-04-05,OFF WHITE ACTIVE T-SHIRT,115.0,"IN PERFETTE CONDIZIONI

COMODA E LEGGERA

NON VESTE OVERSIZE

FATTURA DISPONIBILE SOLO SE REALMENTE INTERESSATI

#OFFWHITE #OFFWHITEVIRGILABLOH #OFFWHITETSHIRT #ACTIVE #ACTIVEWEAR #HYPE",True,UltraFashion
62,NEUF SANS ÉTIQUETTE,PIMKIE,2022-04-04,T-SHIRT BRODÉ,4.0,"T-SHIRT PIMKIE EN COTON RAYÉ BLEU ET BLANC, AVEC UNE JOLIE BRODERIE DE ROSE SUR LE DEVANT. JAMAIS PORTÉ.",True,FastFashion
63,BON ÉTAT,BALMAIN,2022-03-30,T-SHIRT BLANC IMPRIMÉ BALMAIN AUTHENTIQUE,65.0,"T-SHIRT BALMAIN BLANC AVEC LOGO PORTE QUELQUE FOIS AVEC UNE LÉGÈRE TÂCHE EN HAUT À GAUCHE QUI POURRAIT PARTIR JE PENSE, OUTRE CELA ÉTAT TRÈS BON.",True,Undefined
64,TRÈS BON ÉTAT,TAPE À L'ŒIL,2022-04-04,LOT T SHIRT,26.0,"TBE
3 ANS
DIVERSES MARQUES",True,Undefined
65,NEUF SANS ÉTIQUETTE,SUPREME,2022-04-09,T SHIRT SUPREME,60.0,"T SHIRT SUPREME PORTÉ UNE FOIS MAIS IL ME TAILLE TROP GRAND. 
N’HÉSITEZ PAS À ME CONTACTER POUR AVOIR DES INFOS OU ME FAIRE UNE OFFRE !",True,UltraFashion
66,NEUF SANS ÉTIQUETTE,WARREN WEBBER,2022-04-09,T-SHIRT NUOVA MA MACCHIATA,1.0,"SECONDO ME LAVARLA LE VANNO VIA LE MACCHIE 
MAI INDOSSATA",True,Undefined
67,NEUF SANS ÉTIQUETTE,YES MISS,2022-04-09,T-SHIRT DONNA NUOVO,5.0,"IN COTONE 
MISURA S O M",True,Undefined
68,NEUF SANS ÉTIQUETTE,YES MISS,2022-04-09,T-SHIRT,6.0,"NUOVA
IN COTONE ELASTICIZZATO",True,Undefined
69,TRÈS BON ÉTAT,FRED PERRY,2022-04-09,POLO T SHIRT FRED PERRY,15.0,"MAGLIETTA FRED PERRY IN OTTIME CONDIZIONI 
LOGO IN VISTA",True,Undefined
70,TRÈS BON ÉTAT,nan,2022-04-09,T-SHIRT UOMO,2.0,"IN COTONE 
OTTIME CONDIZIONI",True,Undefined
71,NEUF SANS ÉTIQUETTE,PALM ANGELS,2022-03-18,PALM ANGELS PALM T-SHIRT SIZE M AUTHENTIC,100.0,"NEW PALM ANGELS T-SHIRT SIZE M
ONLY WORN ONCE AND DRY CLEANED AFTER",True,UltraFashion
72,BON ÉTAT,GIVENCHY,2022-04-03,T SHIRT CON STAMPA GIVENCHY PARIS,140.0,"LEGGERMENTE USATA, MA SEMPRE BEN LAVATA E STIRATA. LE CONDIZIONI DELLA STAMPA SONO OTTIMALI, HO CONSERVATO ANCHE IL CARTELLINO.",True,UltraFashion
73,NEUF SANS ÉTIQUETTE,JACK & JONES,2022-03-27,T-SHIRT,3.0,JAMAIS PORTÉ NON PLUS,True,Undefined
74,NEUF SANS ÉTIQUETTE,PHILIPP PLEIN,2022-04-09,T SHIRT PHILIPP PLEIN XXL,135.0,"T SHIRT NERA CON BRILLANTINI PHILIPP PLEIN UOMO , COME NUOVA MESSA DUE VOLTE XXL",True,UltraFashion
75,NEUF SANS ÉTIQUETTE,OFF-WHITE,2022-04-09,T-SHIRT OFF-WHITE,125.0,"MAGLIETTA CON STAMPA DI OFF-WHITE, USATA POCHISSIME VOLTE IN ECCELLENTI CONDIZIONI.",True,UltraFashion
76,NEUF AVEC ÉTIQUETTE,PALM ANGELS,2022-03-26,T-SHIRT PALM ANGELS,150.0,T-SHIRT PALM ANGELS NEUF,True,UltraFashion
77,BON ÉTAT,PHILIPP PLEIN,2022-04-03,PILIPP PLEIN T-SHIRT,80.0,PHILIPP PLEIN T-SHIRT,True,UltraFashion
78,NEUF SANS ÉTIQUETTE,AMIRI,2022-03-18,AMIRI OVERSIZED TIE DYE T-SHIRT SIZE M AUTHENTIC,200.0,"NEW AMIRI TIE DYE T-SHIRT SIZE M AUTHENTIC
BRAND NEW AND NEVER WORN",True,Undefined
79,NEUF SANS ÉTIQUETTE,CHARHARTT,2022-04-06,T-SHIRT CHARHARRT,15.0,"VENDO T-SHIRT CHAHARTT NUOVA, USATA SOLO UNA VOLTA, VENDO PER TAGLIA SBAGLIATA. 
VESTE PIÙ GRANDE DI UNA M, IL VIOLA È PIÙ SCURO DAL VIVO.",True,Undefined
80,NEUF AVEC ÉTIQUETTE,PHILIPP PLEIN,2022-03-31,T-SHIRT CAMOUFLAGE,130.0,BELLISSIMA T-SHIRT PHILIPP PLEIN MAI INDOSSATA CAUSA TAGLIA SBAGLIATA,True,UltraFashion
81,BON ÉTAT,PHILIPP PLEIN,2022-04-03,PHILIPP PLEIN T-SHIRT,100.0,PHILIPP PLEIN T-SHIRT,True,UltraFashion
82,NEUF AVEC ÉTIQUETTE,AGATHA RUIZ DE LA PRADA,2022-04-09,T SHIRT TUNIQUE AGATHA RUIZ DE LA PRADA 10 ANS,11.0,TRÈS SYMPA,True,UltraFashion
83,NEUF AVEC ÉTIQUETTE,SAINT LAURENT,2022-04-01,T-SHIRT SAINT LAUREN,170.0,"ARTICOLO NUOVO, MAI INDOSSATO, LO VENDO PERCHÉ TROPPO GRANDE PER ME. È UNA TAGLIA L. 

PREZZO 200 TRATTABILE",True,UltraFashion
84,NEUF AVEC ÉTIQUETTE,OLYMPIQUE MARSEILLE,2022-04-04,T SHIRT BLEU MARINE OLYMPIQUE MARSEILLE,10.0,"T-SHIRT OLYMPIQUE DE MARSEILLE BLEU MARINE 
TAILLE 2 
NEUF AVEC ÉTIQUETTE ET EMBALLAGE 

#TSHIRT 
#TSHIRTHOMME 
#OM #OLYMPIQUEDEMARSEILLE 
#CHEZFRAISINETTETAILLE38 
#CHEZFRAISINETTETAILLE38HOMME 
#CLIMACOOL",True,Undefined
85,TRÈS BON ÉTAT,KIABI,2022-04-09,T SHIRT 5 ANS,6.0,"LOT DE 3 TEE SHIRTS MANCHES LONGUES EN TAILLE 5 ANS , BLEU MARINE , ILS SONT COMME NEUF !",True,UltraFastFashion
86,NEUF SANS ÉTIQUETTE,DSQUARED2,2022-03-17,T-SHIRT DSQUARED2,250.0,"JAMAIS PORTÉ, #DSQUARED2 #NOUVELLECOLLECTION #TSHIRTHOMME #ÉTÉ",True,UltraFashion
87,TRÈS BON ÉTAT,TOMMY HILFIGER,2022-04-09,T-SHIRT HOMEM,13.0,"COMO NOVA. EM MUITO BOM ESTADO.
USADA UMAS DUAS / TRES VEZES.",True,FastFashion
88,NEUF AVEC ÉTIQUETTE,PALM ANGELS,2022-04-09,T-SHIRT PALM ANGELS,105.0,"NEW T-SHIRT PALM ANGELS « LOGO ». NEVER WEAR. L SIZE. 

DESCIPION : SHORTS SLEEVES T-SHIRT IN BLACK WITH ""PALM ANGELS"" LOGO PRINTED IN WHITE AT COLLAR AND AT BACK. CREWNECK COLLAR. OVERSIZE FIT.",True,UltraFashion
89,TRÈS BON ÉTAT,JUST CAVALLI,2022-04-09,T-SHIRT JUST CAVALLI VERDE MILITARE,26.0,"PARTICOLARISSIMA T-SHIRT JUST CAVALLI VERDE MILITARE CON RICAMO APPLICATO SUL DAVANTI E DISEGNO CARINISSIMO SUL RETRO !! INDOSSATA UNA SOLA VOLTA, COME NUOVA",True,Undefined
90,NEUF SANS ÉTIQUETTE,JACK & JONES,2022-03-27,T-SHIRT,3.0,JAMAIS PORTÉ,True,Undefined
91,TRÈS BON ÉTAT,NIKE,2022-04-09,T-SHIRT VINTAGE NIKE SWOOSH BLANC,43.0,"T-SHIRT VINTAGE NIKE SWOOSH BLANC

TAILLE L

TRÈS BON ÉTAT",True,FastFashion
92,TRÈS BON ÉTAT,NOBRAND,2022-04-07,T-SHIRT NERA CON TESCHIO,45.0,T-SHIRT NERA CON TESCHIO MCQUEEN,True,Undefined
93,TRÈS BON ÉTAT,LACOSTE,2022-04-07,T-SHIRT LACOSTE,28.0,"T-SHIRT LACOSTE

-》TAILLE M
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#LACOSTE",True,Fashion
94,NEUF AVEC ÉTIQUETTE,APRIL VINTAGE,2022-04-07,T-SHIRT FEMME « MADEMOISELLE EN BASKETS » NEUF,20.0,"T-SHIRT FEMME « MADEMOISELLE EN BASKETS » NEUF AVEC ÉTIQUETTE
INSCRIPTION VERT OU BLEU AU CHOIX
COL V
TU (M/L)

95% COTON - 5% ÉLASTHANNE

#TSHIRT #TSHIRTFEMME #MADEMOISELLEENBASKETS #TSHIRTINSCRIPTION 
#NEUF #TSHIRTNEUFAVECETIQUETTE",True,Undefined
95,TRÈS BON ÉTAT,JBC,2022-04-09,T-SHIRT JBC KAATJE 122,5.0,"VIKTOR IN ZIJN RAKET, MOOIE PRINT, ONDERAAN HEEL KLEIN BEETJE AFGEGAAN MAAR STOORT NIET.",True,Undefined
96,SATISFAISANT,LOLALIZA,2022-04-09,BLOES LOLA & LIZA 40,1.0,2 KLEINE GAATJES AAN HALS,False,Undefined
97,TRÈS BON ÉTAT,C&A,2022-04-09,2X T-SHIRT C&A 104,5.0,"LICHT ROZE EN WIT, PERFECTE STAAT",True,Undefined
98,BON ÉTAT,C&A,2022-04-09,VESTJE 104 + TSHIRTJE 98 C&A,5.0,"IN VESTJE GAATJE (ZIE FOTO), OMDAT DIT ZEN VESTJE IS MET OPENINGETJES VALT DIT NIET ZO OP.",True,Undefined
99,TRÈS BON ÉTAT,FILOU & FRIENDS,2022-04-09,T-SHIRT FILOU & FRIENDS 4,5.0,"VEEL GEDRAGEN EN GEWASSEN, GEEN GAATJES OF VLEKJES, PRENT INTACT.",True,Undefined
100,NEUF AVEC ÉTIQUETTE,CHAMPION,2022-04-09,T-SHIRT CHAMPION,25.0,"❇️T-SHIRT CHAMPION NEUF ACHETER AVEC ÉTIQUETTE ❇️

ACHETER 40E",True,Undefined
101,NEUF SANS ÉTIQUETTE,CAMBODGE,2022-04-07,T-SHIRT DE CAMBODGE,8.0,"T-SHIRT TAILLE M, COULEUR JAUNE/BEIGE CRÈME , PETITE IMPRESSION BLEU FONCÉ CAMBODGE, 100% COTON, MADE IN CAMBODIA, NEUF AVEC EMBALLAGE",True,Undefined
102,TRÈS BON ÉTAT,RALPH LAUREN,2022-04-06,T-SHIRT RALPH LAUREN,28.0,"T-SHIRT RALPH LAUREN 

-》TAILLE M
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN",True,Fashion
103,TRÈS BON ÉTAT,SUPERDRY,2022-04-07,T-SHIRT BLU SUPERDRY,28.0,T-SHIRT BLU SUPERDRY.....STUPENDA,True,Fashion
104,NEUF AVEC ÉTIQUETTE,ZADIG & VOLTAIRE,2022-04-09,T-SHIRT MANCHES LONGUES,50.0,"T-SHIRT MANCHE LONGUE ZADIG ET VOLTAIRE NEUF JAMAIS PORTÉ AVEC TICKET DE CAISSE.
LE DESSIN TÊTE DE MORT AVEC LES AILES ROUGES EST DANS LE DOS",True,Undefined
105,NEUF AVEC ÉTIQUETTE,PETIT BATEAU,2022-04-09,LOT DE 2 T-SHIRT PETIT BATEAU,16.0,LOT DE 2 T-SHIRTS MANCHES COURTES RAYURES TAILLE 14 ANS 100 % COTON PRIX FERME MERCI,True,Undefined
