,État,Marque,Date,nom,Prix,Description,keep,cat
15,TRÈS BON ÉTAT,DIOR HOMME,2022-04-03,,145.0,"JEAN SLIM DIOR PAR KRIS VAN ASSCHE
DIOR JAPAN 
COND: 9,9/10 PORTÉ UNE FOIS 
SIZE: 31 FIT 31-32 (LOW WAIST)
TRADUIRE",False,Fashion
16,TRÈS BON ÉTAT,FIORUCCI,2022-03-30,,31.0,JEAN SLIM AVEC BAS LÉGÈREMENT ÉVASÉTRADUIRE,False,UltraFastFashion
17,BON ÉTAT,STELLA MCCARTNEY,2022-03-27,,40.0,"LES JEANS ONT UNE COUPE BASSE ET SERRÉE AVEC DES JAMBES DROITES ET LARGES.
DENIM FONCÉ.
LE BOUT DES JAMBES, EN RAISON DE LA COUPE, TOUCHAIT UN PEU LE SOL.TRADUIRE",False,UltraFastFashion
18,NEUF AVEC ÉTIQUETTES,R13,2022-04-03,,200.0,JEAN BOYFRIEND R13 NEUF ET AVEC ÉTIQUETTE. TAILLE 25 COULEUR BAIN AVEC DÉCHIRURESTRADUIRE,False,Fashion
19,NEUF SANS ÉTIQUETTE,ACNE STUDIOS,2022-04-03,,70.0,"NEUF, JAMAIS PORTÉ

TAILLE DE LA MARQUE 29
SUR L'ÉTIQUETTE : 29 34 175/72A
TRÈS PETIT, JE NE RENTRE PAS DANS MON M TAILLE

PRIX D'ORIGINE 240 EUROSTRADUIRE",False,Undefined
20,NEUF SANS ÉTIQUETTE,LEVI'S,2022-04-02,,36.0,JEAN LEVIS 501 TRÈS BON ÉTATTRADUIRE,False,FastFashion
21,NEUF AVEC ÉTIQUETTES,MANGO,2022-04-04,,17.0,"JEAN SKINNY STRETCH, NEUF, COULEUR CLAIRE, TAILLE XS IT 38TRADUIRE",False,FastFashion
22,NEUF SANS ÉTIQUETTE,AGOLDE,2022-04-01,,70.22,AGRÉABLETRADUIRE,False,Undefined
23,NEUF AVEC ÉTIQUETTES,JADED LONDON,2022-03-29,,44.95,"NEUF AVEC ÉTIQUETTES
TAILLE 38CMTRADUIRE",False,UltraFastFashion
24,TRÈS BON ÉTAT,PATRIZIA PEPE,2022-03-28,,20.0,"JEAN SKINNY PATRIZIA PEPE EFFET PUSH-UP, BLEU MOYEN CLAIR. 
 TRÈS PEU PORTÉ, COMME NEUF. 
 TAILLE BASSE. 
 TAILLE 25 STRETCH.TRADUIRE",False,UltraFastFashion
25,SATISFAISANT,MIH JEANS,2022-03-26,,20.0,MIH JEANS JAMBE SUPER SKINNY TAILLE HAUTE. PETITES TRACES D'USURETRADUIRE,False,UltraFastFashion
26,NEUF SANS ÉTIQUETTE,LOEWE,2022-04-01,,199.0,"JEAN FEMME LOEWE FLARE À JAMBES LARGES. TAILLE 34 FR, MESURES : TAILLE 33 CM, LONGUEUR 101 CM, OURLET 34 CM. PARFAIT ÉTAT, JAMAIS PORTÉ. LE PRIX DE VENTE EST DE 450€. RÉF. NUMÉRO S359331XCP. FABRIQUÉ EN ITALIETRADUIRE",False,Fashion
27,NEUF AVEC ÉTIQUETTES,JADED LONDON,2022-04-02,,50.0,"JEANS JADED LONDON NEUF JAMAIS PORTÉ. COUPE DROITE.
TAILLE 30 LONGUEUR 30 (TAILLE US).
ENTREJAMBE: 76 CM LONGUEUR TOTALE 105 CMTRADUIRE",False,Undefined
28,NEUF AVEC ÉTIQUETTES,DSQUARED2,2022-03-31,,104.0,"JEANS DSQUARED2 HOMME, TAILLE 48 IT. TOUJOURS ÉTIQUETÉ, ÉTAT NIQUEL!TRADUIRE",False,Fashion
29,TRÈS BON ÉTAT,PATRIZIA PEPE,2022-03-27,,17.0,"PANTALON SKINNY PATRIZIA PEPE, EFFET PUSH-UP. 
 TRÈS PEU PORTÉ, COMME NEUF. 
 COULEUR VERT ARMÉE. 
 TAILLE BASSE. 
 TAILLE 25 ÉLASTIQUÉ [[2 ]]TRADUIRE",False,UltraFastFashion
30,TRÈS BON ÉTAT,YVES SAINT LAURENT,2022-04-02,,48.65,TRÈS BONNE CONDITIONTRADUIRE,False,Fashion
31,TRÈS BON ÉTAT,DOLCE & GABBANA,2022-04-03,,40.0,"JEAN DOLCE ET GABBANA EN EXCELLENT ÉTAT 
 AVEC PLAQUE DE LA MARQUE DANS LA POCHE ARRIÈRETRADUIRE",False,Fashion
32,NEUF SANS ÉTIQUETTE,DSQUARED2,2022-04-01,,55.0,JEAN AVEC PATCH SUR LA POCHE ARRIÈRE. TG. S/MTRADUIRE,False,Fashion
33,TRÈS BON ÉTAT,DSQUARED2,2022-04-01,,82.99,"PORTÉ QUELQUES FOIS, PRESQUE COMME NEUF

TAILLE IT48
TAILLE 45CM
OUVERTURE JAMBE 16,5CM
ENTREJAMBE 80CM
LARGEUR CUISSE 27CM 
HAUTEUR 27CM
LONGUEUR 104CMTRADUIRE",False,Fashion
34,NEUF SANS ÉTIQUETTE,MISE AU GREEN,2022-04-02,,25.0,JEAN MISE AU GREEN TRÈS BON ETATTRADUIRE,False,UltraFastFashion
35,NEUF AVEC ÉTIQUETTES,ACNE STUDIOS,2022-04-03,,70.0,"NEUF, JAMAIS PORTÉ

ACNÉ TAILLE 29
SUR L'ÉTIQUETTE : 29 34 175/72A
TRÈS PETIT, JE NE RENTRE PAS DANS MA TAILLE M[ [2]]
PRIX D'ORIGINE 240 EUROS 
TRADUIRE",False,Undefined
36,TRÈS BON ÉTAT,VICTORIA BECKHAM,2022-04-02,,57.92,AUCUN DÉFAUTTRADUIRE,False,Undefined
37,TRÈS BON ÉTAT,LEVI'S,2022-04-01,,29.0,"LEVI'S 501 FEMME 
 LONGUEUR 100CM 
 TAILLE 40 CMTRADUIRE",False,FastFashion
38,NEUF SANS ÉTIQUETTE,BURBERRY,2022-04-01,,702.2,"PORTÉ UNE FOIS, APPORTÉ IL Y A 2 ANS PAR BURBERRY, HARRODS. JEAN BLANC TAILLE BASSE, JAMBE DROITE AVEC ESTAMPILLE BURBERRY, VRAIMENT RARE, JE LES AIME MAIS NE ME VONT PAS. SONT UNE PETITE TAILLE CAR UN W25 CONVIENDRAIT PROBABLEMENT À UNE TA...LIRE LA SUITETRADUIRE",False,Fashion
39,TRÈS BON ÉTAT,MET,2022-04-02,,25.0,PANTALON STRETCH TAILLE BASSETRADUIRE,False,UltraFastFashion
40,TRÈS BON ÉTAT,TOTÊME,2022-03-30,,67.47,"JEAN DÉCHIRÉ ORIGINAL TOTEME, COUTURE TORSADÉE, BLEU DÉLAVÉ, LONGUEUR RACCOURCIE.
TAILLE 25/32. PORTÉ QUELQUES FOIS SEULEMENT.TRADUIRE",False,Undefined
41,NEUF SANS ÉTIQUETTE,Y/PROJECT,2022-04-02,,400.0,"COLLECTION FW 2021
JEAN DROIT TAILLE HAUTE, DÉLAVÉ AVEC LA TAILLE TORSADÉE.TRADUIRE",False,Fashion
42,NEUF SANS ÉTIQUETTE,R13,2022-03-31,,190.0,DROP R13 SUR MESURE NEUF MAIS SANS ÉTIQUETTE. TAILLE 28 UNISEXETRADUIRE,False,Fashion
43,TRÈS BON ÉTAT,ISABEL MARANT ETOILE,2022-03-31,,70.0,HELLE JEANS HIGH WAISTTRADUIRE,False,Fashion
44,NEUF SANS ÉTIQUETTE,DIESEL,2022-04-02,,20.0,JEANS DROIT FEMME DIESEL T 27 AMÉRICAINE IL EST COULEUR BRUT ÉTAT EXCELLENT COUPE DROITETRADUIRE,False,Fashion
45,NEUF SANS ÉTIQUETTE,SANDRO,2022-03-30,,55.0,"SANDRO, JAMAIS PORTÉTRADUIRE",False,Fashion
46,BON ÉTAT,LEVI'S,2022-04-01,,35.0,"JEAN VINTAGE ANNÉES 80, ILS N'ONT PAS L'OURLET D'ORIGINE, JE NE CONNAIS PAS EXACTEMENT LA TAILLE ET LE MODÈLE, SI INTÉRESSÉ JE DONNERAI DES MESURES ET D'AUTRES PHOTOS PLUS DÉTAILLÉESTRADUIRE",False,FastFashion
47,NEUF SANS ÉTIQUETTE,DSQUARED2,2022-03-28,,108.0,"A VENDRE JEAN DSQUARED2, TAILLE 50, COMME NEUF.TRADUIRE",False,Fashion
48,TRÈS BON ÉTAT,JACOB COHEN,2022-03-30,,60.0,JEAN JACOB COHEN POUR HOMME TG. 32 EN TISSU D'ÉTÉ BLEU-GRIS SLIM FEAT. OURLET RÉTRÉCI D'UN CM DANS UN MAGASIN MONOMARQUE.TRADUIRE,False,Undefined
49,NEUF SANS ÉTIQUETTE,DSQUARED2,2022-03-29,,77.88,"CES JEANS DSQUARED SUPER RARES PROVIENNENT DE LA TRISTEMENT CÉLÈBRE COLLECTION ""HOMELESS"". IL EST DOTÉ D'UNE COUPE BOOTCUT ET D'UNE POCHE ARRIÈRE DÉCHIRÉE AVEC UN SLOGAN BRODÉ ""NOSY F * CKER"". 

ILS N'ONT JAMAIS ÉTÉ PORTÉS ET L'ÉTAT PEUT ...LIRE LA SUITETRADUIRE",False,Fashion
50,TRÈS BON ÉTAT,GUESS,2022-04-02,,21.0,JEAN STRETCH TAILLE BASSETRADUIRE,False,Fashion
51,TRÈS BON ÉTAT,GUCCI,2022-03-30,,86.0,JEAN DÉCHIRÉ GUCCI TAILLE 29 (ENVIRON 42) TAILLE NATURELLE PORTÉ SEULEMENT 2 FOISTRADUIRE,False,Fashion
52,NEUF SANS ÉTIQUETTE,PULL & BEAR,2022-04-03,,16.0,"JEAN EN PARFAIT ÉTAT, COULEUR NOIR DÉLAVÉ. TAILLE 34TRADUIRE",False,FastFashion
53,BON ÉTAT,PLEASE,2022-04-03,,20.0,"JEAN BLEU FONCÉ EN EXCELLENT ÉTAT PAR PLEASE. BON AJUSTEMENT, CONFORTABLE ET MALLÉABLE. LA JAMBE DU PANTALON RESTE BIEN AJUSTÉE SANS SERRER, ELLE ÉPOUSE LES JAMBES.TRADUIRE",False,UltraFastFashion
54,NEUF SANS ÉTIQUETTE,DSQUARED2,2022-03-27,,108.0,"A VENDRE JEAN DSQUARED2, TAILLE L, COMME NEUF.TRADUIRE",False,Fashion
55,TRÈS BON ÉTAT,GUCCI,2022-03-29,,75.0,JEAN NOIR GUCCI EN EXCELLENT ÉTAT.TRADUIRE,False,Fashion
56,NEUF SANS ÉTIQUETTE,BALMAIN,2022-03-30,,177.0,BALMAIN FEMME JEAN BIKERTRADUIRE,False,Fashion
57,NEUF SANS ÉTIQUETTE,BALMAIN,2022-03-30,,177.0,BALMAIN FEMME JEAN BIKERTRADUIRE,False,Fashion
58,TRÈS BON ÉTAT,STAUD,2022-03-31,,45.0,"JEAN NOIR AVEC POCHES BLANCHES À L'ARRIÈRE STAUD TAILLE ITALIENNE 31/44-46 
 COUPE DROITETRADUIRE",False,Undefined
59,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2022-04-02,,20.0,"JEAN VINTAGE AVEC STRASS SUR LES POCHES ARRIÈRES ET UNE POCHE AVANT.
LE JEAN EST TAILLE BASSE, IL TAILLE BIEN ET LE BAS ET PLUS LARGE.
TRÈS BON ÉTAT.TRADUIRE",False,UltraFastFashion
60,TRÈS BON ÉTAT,FRACOMINA,2022-03-31,,25.0,"JEAN FRACOMINA, ORIGINAL. 
 COULEUR JEAN BLEU DENIM. 
 TAILLE 28 (US) / 42 (ITA) 
 BON ÉTAT. 
 DÉTAILS CLOUSTRADUIRE",False,UltraFastFashion
61,NEUF SANS ÉTIQUETTE,BALMAIN,2022-03-31,,177.0,BALMAIN JEAN BIKER GRIS CLAIR POUR FEMMETRADUIRE,False,Fashion
62,NEUF SANS ÉTIQUETTE,BALMAIN,2022-03-30,,177.0,BALMAIN JEAN BIKER EN GRIS POUR FEMMETRADUIRE,False,Fashion
63,TRÈS BON ÉTAT,VERSACE,2022-04-01,,60.0,"JEAN SKINNY NOIR VERSACE, UTILISÉ QUELQUES FOIS, TOUJOURS EN TRÈS BON ÉTAT PRÉ-AIMÉ. 
UN INCONTOURNABLE DE LA GARDE-ROBE DÉCONTRACTÉE, CE JEAN SKINNY SEXY À PANNEAUX EST COUPÉ EN DENIM STRETCH AVEC UNE COUPE AJUSTÉE ET DISPOSE D'UN BOUTON E...LIRE LA SUITETRADUIRE",False,Fashion
64,TRÈS BON ÉTAT,DOLCE & GABBANA,2022-03-31,,49.0,"JEAN AUTHENTIQUE DOLCE GABBANA

PORTÉ SEULEMENT 3 FOIS, PARFAIT ÉTAT

GRIS BRILLANT / ARGENT

TRADUIRE",False,Fashion
65,TRÈS BON ÉTAT,LEVI'S,2022-04-03,,50.0,LEVI'S 501 BLANCTRADUIRE,False,FastFashion
66,TRÈS BON ÉTAT,DSQUARED2,2022-03-28,,42.0,"JEAN DSQUARED TAILLE 40. EN BON ÉTAT, PEU SERVI. IL A UNE PETITE USURE QU'IL A SOULIGNÉE DU DOIGT.TRADUIRE",False,Fashion
67,NEUF AVEC ÉTIQUETTES,CURRENT ELLIOTT,2022-03-30,,52.0,"JEAN SKINNY CURRENT/ELLIOTT STILLETO
CAMEL LEOPARD
TRADUIRE",False,Undefined
68,TRÈS BON ÉTAT,D&G,2022-03-29,,29.0,"JEAN HOMME D&G DOLCE AND GABBANA TAILLE 31/46 PORTÉ QUELQUES FOIS ] TOUR DE TAILLE 43 
 TOUR DE TAILLE 88TRADUIRE",False,Fashion
69,BON ÉTAT,PRADA,2022-03-31,,40.0,"JEAN PRADA, TAILLE US 29 (ITALIEN 44), EN DENIM DE COULEUR INDIGO. 
 100% COTON, ORIGINAUX. 
 TAILLE REGULAR FIT 
 ORIGINALTRADUIRE",False,Fashion
70,SATISFAISANT,LEVI'S,2022-03-29,,35.0,LÉVIS 501. W33 L32. LÉGÈRE TACHE SUR LE HAUT DE LA CUISSE DROITE ET LA CHEVILLE DROITETRADUIRE,False,FastFashion
71,BON ÉTAT,LEVI'S,2022-03-31,,26.0,"JEAN LEVI'S 479 BOOTY FLARE FEET
CORRESPOND À UN 34FR
SLIM EN HAUT ÉVASÉ EN BAS TRÈS TENDANCE TRADUIRE",False,FastFashion
72,NEUF SANS ÉTIQUETTE,JUST CAVALLI,2022-03-30,,34.0,"NOUVEAU JEAN JUST CAVALLI, TRÈS PARTICULIER AU DOS AVEC DES EMPIÈCEMENTS FAÇON PONEY SUR LES POCHES FAÇON PONEY.TRADUIRE",False,UltraFastFashion
73,BON ÉTAT,7 FOR ALL MANKIND,2022-03-30,,25.0,"JEAN BLANC AVEC DES TRACES D'USURE (QUELQUES LÉGÈRES TÂCHES AU DOS, VOIR PHOTO)TRADUIRE",False,UltraFastFashion
74,TRÈS BON ÉTAT,LIU.JO,2022-03-30,,22.0,PEU UTILISÉTRADUIRE,False,UltraFastFashion
75,TRÈS BON ÉTAT,PHILIPP PLEIN,2022-04-04,,90.0,JEAN COUPE DROITE PHILIPP PLEIN STONE WASHED TAILLE 33. TRÈS BIEN ENTRETENU.TRADUIRE,False,Fashion
76,TRÈS BON ÉTAT,MORGAN,2022-04-01,,20.85,JEAN MORGAN. TRÈS BONNE CONDITION.TRADUIRE,False,UltraFastFashion
77,NEUF SANS ÉTIQUETTE,LEE,2022-03-31,,22.0,"A VENDRE JEANS LEE NOIR TAILLE 44 (W30 L34), MAIS D'OCCASION COMME NEUF.
 100% COTON 
TRADUIRE",False,UltraFastFashion
78,TRÈS BON ÉTAT,DOLCE & GABBANA,2022-04-04,,150.0,A VENDRE JEANS DOLCE ET GABBANA EN EXCELLENT ÉTAT. LA TAILLE EUROPÉENNE EST 50TRADUIRE,False,Fashion
79,TRÈS BON ÉTAT,JUST CAVALLI,2022-03-28,,27.0,JEANS JUSTE CAVALLITRADUIRE,False,UltraFastFashion
80,TRÈS BON ÉTAT,LIU.JO,2022-03-30,,22.0,JEAN TRÈS BON ÉTATTRADUIRE,False,UltraFastFashion
81,TRÈS BON ÉTAT,DIESEL,2022-03-29,,25.0,JEAN VINTAGE DIESEL TAILLE BASSE. TAILLE UN GRAND 40 VOIR 42.TRADUIRE,False,Fashion
82,BON ÉTAT,DSQUARED2,2022-03-28,,40.0,JEAN DROIT AVEC PATCH MOTIF TARTAN APPLIQUÉ ENSUITE SUR LES DÉCHIRURESTRADUIRE,False,Fashion
83,NEUF SANS ÉTIQUETTE,UNIQLO,2022-03-30,,17.87,"JEAN TAILLE HAUTE 2021 UNIQLO U, CONVIENT À LA TAILLE 27, LONGUEUR 34, PEUT ÊTRE MODIFIÉ SI BESOIN.
TAILLE HAUTE 65CM, HANCHE 94CM
100% COTONTRADUIRE",False,FastFashion
84,NEUF AVEC ÉTIQUETTES,DIESEL,2022-03-28,,35.0,"JAMAIS PORTÉ (TAILLE TROP PETITE).
 AVEC ÉTIQUETTETRADUIRE",False,Fashion
85,NEUF AVEC ÉTIQUETTES,DIESEL,2022-03-28,,35.0,"JAMAIS PORTÉ. NEUF AVEC ÉTIQUETTE 
 TAILLE TROP PETIT POUR MOI.TRADUIRE",False,Fashion
86,TRÈS BON ÉTAT,DIESEL,2022-03-30,,26.81,"JEANS DIESEL ALYS REGULAR-RIGHT, REGULAR WAIT W27-L32.
ÉTAT PRESQUE NEUF, VEUILLEZ VOIR LES PHOTOS POUR PLUS DE DÉTAILS.TRADUIRE",False,Fashion
87,NEUF AVEC ÉTIQUETTES,DSQUARED2,2022-04-02,,115.0,"NOUVEAU 
TRADUIRE",False,Fashion
88,TRÈS BON ÉTAT,SIMON MILLER,2022-03-30,,80.0,"DENIM ICONIQUE COURT ET LARGE, DÉLAVAGE TRÈS LÉGER.TRADUIRE",False,Undefined
89,TRÈS BON ÉTAT,R13,2022-03-28,,89.0,"S'AVÈRE NORMAL, JEANS R13 FLEURI, COULEURS UN PEU TERNES COMME SUR LES PHOTOSTRADUIRE",False,Undefined
90,TRÈS BON ÉTAT,GUESS,2022-03-31,,16.0,PORTÉ DEUX FOISTRADUIRE,False,Fashion
91,TRÈS BON ÉTAT,FEAR OF GOD ESSENTIALS,2022-04-02,,638.36,"
FEAR OF GOD SLIM FIT DISTRESSED DENIM JEANS INDIGO


TAILLE : 34TAILLE, 34 JAMBES


 AUCUNE ALTÉRATION


AUTHENTIQUE


RARE


# PEUR DE DIEU #DISTRESSEDJEANSTRADUIRE",False,Fashion
92,BON ÉTAT,JUNYA WATANABE,2022-03-30,,150.0,"DENIM PAR LEVI'S 522 EN COLLABORATION AVEC LA MARQUE JAPONAISE, AINSI QUE L'ADEPTE DE MME REI KAWAKUBO (CDG), JUNYA WATANABE 
 CE DENIM INDIGO BLEU FONCÉ A LA PARTICULARITÉ D'AVOIR DEUX COULEURS DE DÉLAVAGE PLASTABLE SANS AUCUN PROBLÈME 
 F...LIRE LA SUITETRADUIRE",False,Undefined
93,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2022-03-31,,25.0,"JEAN AVEC ÉLASTIQUE AU BAS DES JAMBES. LA TAILLE EST 29, MAIS ELLES VONT PEU, DONC ELLES VONT MIEUX À UN 27/28. TRÈS PEU PORTÉ.TRADUIRE",False,UltraFastFashion
94,NEUF SANS ÉTIQUETTE,FRACOMINA,2022-03-30,,22.0,SUPER BEAU JEAN FRACOMINS AVEC PETITES DÉCHIRURES SUR LE DEVANT FERMÉ À L'ARRIÈRE PAR LE TISSU ET EMPIÈCEMENTS PERLÉS.TRADUIRE,False,UltraFastFashion
95,TRÈS BON ÉTAT,ELISABETTA FRANCHI,2022-03-28,,36.0,"FANTASTICO JEANS ELISABETTA FRANCHI 
 TOUTES LES TAILLES SONT DISPONIBLES SUR LES PHOTOS 
 TAILLE 29 ÉQUIVALENT À 44 ITATRADUIRE",False,UltraFastFashion
96,TRÈS BON ÉTAT,JACOB COHEN,2022-03-30,,60.0,JEAN JACOB COHEN POUR HOMME TG. 32 EN TISSU D'ÉTÉ BLEU-GRIS SLIM FEAT. OURLET RÉTRÉCI D'UN CM DANS UN MAGASIN MONOMARQUE.TRADUIRE,False,Undefined
97,NEUF SANS ÉTIQUETTE,DSQUARED2,2022-03-29,,77.88,"CES JEANS DSQUARED SUPER RARES PROVIENNENT DE LA TRISTEMENT CÉLÈBRE COLLECTION ""HOMELESS"". IL EST DOTÉ D'UNE COUPE BOOTCUT ET D'UNE POCHE ARRIÈRE DÉCHIRÉE AVEC UN SLOGAN BRODÉ ""NOSY F * CKER"". 

ILS N'ONT JAMAIS ÉTÉ PORTÉS ET L'ÉTAT PEUT ...LIRE LA SUITETRADUIRE",False,Fashion
98,TRÈS BON ÉTAT,GUESS,2022-04-02,,21.0,JEAN STRETCH TAILLE BASSETRADUIRE,False,Fashion
99,TRÈS BON ÉTAT,GUCCI,2022-03-30,,86.0,JEAN DÉCHIRÉ GUCCI TAILLE 29 (ENVIRON 42) TAILLE NATURELLE PORTÉ SEULEMENT 2 FOISTRADUIRE,False,Fashion
100,NEUF SANS ÉTIQUETTE,PULL & BEAR,2022-04-03,,16.0,"JEAN EN PARFAIT ÉTAT, COULEUR NOIR DÉLAVÉ. TAILLE 34TRADUIRE",False,FastFashion
