,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
21,TRÈS BON ÉTAT,114,FRANCE,RALPH LAUREN ,XL,2022-04-04 18:40:18.404480,Pull col cheminée Ralph Lauren beige/crème,53.0,"Pull col cheminée Ralph Lauren beige/crème 

Taille XL

Très bon état"
22,TRÈS BON ÉTAT,98,"SAINT-DIVY, FRANCE",CARHARTT ,M,2022-04-04 15:40:18.404482,Pull à col roulé carhartt,35.0,"👔 Pull à col roulé gris Carhartt 
✅ En très bon état (porté 1ou 2 fois)
❌ Aucune taches ni marque d’usure
📏 Taille normalement (M)"
23,TRÈS BON ÉTAT,201,"FIRENZE, ITALIA",VALENTINO ,M,2022-04-02 18:40:18.404485,Maglione Valentino,22.0,"Maglione dolcevita Valentino 
Grigio scuro
Materiale: Lana vergine
È stato indossato poche volte, non presenta segni di usura

Per altre foto o info scrivetemi!"
24,NEUF SANS ÉTIQUETTE,198,"COSENZA, ITALIA",EMPORIO ARMANI ,L,2022-03-24 18:40:18.404488,Emporio Armani,16.0,"Maglione cardigan
100% cotone"
25,TRÈS BON ÉTAT,35,"STRASBOURG, FRANCE",DEFACTO ,L,2022-04-04 18:40:18.404490,Pulls col roulé,7.5,comme neuf
26,TRÈS BON ÉTAT,25,"PARIS, FRANCE",SANDRO ,S,2022-04-04 15:40:18.404492,Pull Sandro laine,50.0,Porté quelques fois. Bon état
27,TRÈS BON ÉTAT,82,"CLARQUES, FRANCE",EDEN PARK ,M,2022-04-02 18:40:18.404495,Col roulé Eden Park,40.0,"Col roulé Eden Park 
taille M (je fais 1m78) 
très bon état
marine"
28,TRÈS BON ÉTAT,66,"CRÉTEIL, FRANCE",HUGO ,M,2022-04-04 18:40:18.404497,Pull col roulé Hugo Boss,15.0,"Pull 100% laine vierge, chaud et confortable.
Porté quelques fois, très bon état.
Brodé Hugo sur manche gauche
Envoi sous 24 heures. 
Taille M mais convient L (comme moi)"
29,TRÈS BON ÉTAT,102,FRANCE,RALPH LAUREN ,XXL,2022-03-30 18:40:18.404500,Pull col cheminée Ralph Lauren gris,48.0,"Pull col cheminée Ralph Lauren gris 

Taille XXL

Très bon état"
30,TRÈS BON ÉTAT,8,"DAINVILLE, FRANCE",BERETTA ,L,2022-04-04 15:40:18.404503,Beretta pull,35.0,Pull beretta
31,BON ÉTAT,89,"NIEUWEGEIN, NEDERLAND",RALPH LAUREN ,S,2022-04-02 18:40:18.404506,Ralph Lauren Trui,19.95,"vlekje bij borst

✨ Item is 100% origineel
✨ Ik meet geen artikelen op.
✨Orders worden verstuurd binnen 3 werkdagen
✨ Ik reserveer geen artikelen"
32,NEUF AVEC ÉTIQUETTE,101,"ANDALUCÍA, ESPAÑA",AMI ,M,2022-04-02 18:40:18.404508,Sweat Ami,250.0,"État : 10/10
Acheté à noel pour un cadeau
J'ai une facture d'achat
Couleur : gris 
Couleur du coeur : rouge
Prix négociable
#ami #amiparis #pull"
33,NEUF SANS ÉTIQUETTE,2,"WERKHOVEN, NEDERLAND",REINDERS ,XS,2022-04-04 16:40:18.404511,Reinders Pull,8.0,"niet gedragen, alleen waslabel eruit geknipt"
34,TRÈS BON ÉTAT,21,"TILBURG, NEDERLAND",GENTI ,L,2022-04-02 18:40:18.404513,Genti col-trui,35.0,"maat L

1/2 keer gedragen"
35,NEUF SANS ÉTIQUETTE,194,"MOZELOS, PORTUGAL",FRED PERRY ,XL,2022-03-27 18:40:18.404516,Camisola Fred Perry,17.5,Camisola de malha castanha de meia gola da fred perry
36,TRÈS BON ÉTAT,59,ITALIA,ANTONY MORATO ,M,2022-04-02 18:40:18.404518,Dolcevita uomo,5.0,"Altezza modello: 180 cm
Peso modello: 70 kg

Maglia uomo dolcevita di Antony Morato grigia e panna
Taglia M

50% lana e 50% acrilico

Largh. Torace cm. 46
Lungh. da spalla cm. 60
Lungh. da scalfo cm. 40"
37,BON ÉTAT,35,FRANCE,RALPH LAUREN ,XL,2022-04-02 18:40:18.404521,Vintage Ralph Lauren 1/4 zip Jumper in Brown XL,28.9,Good vintage condition with some signs of wear. MEASUREMENTS: Length: 75cm Widht: 66cm Sleeve: 80cm. All items are authentic vintage pieces and are one offs; signs of wear and tear add to their authenticity.
38,TRÈS BON ÉTAT,69,FRANCE,TOMMY HILFIGER ,L,2022-04-04 18:40:18.404523,Vintage Tommy Hilfiger 1/4 zip Jumper in Blue L,27.9,In really good vintage condition. .MEASUREMENTS: Length: 78cm Widht: 62cm Sleeves: 83cm. All items are authentic vintage pieces and are one offs; signs of wear and tear add to their authenticity.
39,TRÈS BON ÉTAT,69,FRANCE,,XL,2022-04-04 18:40:18.404526,XL - Green Golf Sweater,27.0, Made in Germany. Length: 76cm Widht: 66cm Sleeve: 75cm. Model is 170cm tall and usually wears M size.
40,TRÈS BON ÉTAT,8,FRANCE,CHAMPS ,XL,2022-04-04 18:40:18.404528,Vintage Champs 1/4 button Stripped Jumper XL,27.9,In really good vintage condition. .MEASUREMENTS: Length: 68cm Widht: 52cm Sleeves: 64cm. All items are authentic vintage pieces and are one offs; signs of wear and tear add to their authenticity.
41,BON ÉTAT,6,FRANCE,ADIDAS ,M,2022-03-30 18:40:18.404530,Vintage Adidas Turtle Neck Jumper in Burgundy M,9.9,Good vintage condition with some signs of wear (stain). MEASUREMENTS: Length: 68cm Widht: 47cm Sleeve: 68cm. All items are authentic vintage pieces and are one offs; signs of wear and tear add to their authenticity.
42,TRÈS BON ÉTAT,19,FRANCE,TOMMY HILFIGER ,XS,2022-04-02 18:40:18.404533,Pull Col Camionneur Tommy Hilfiger,29.99,"Pull Col Camionneur Tommy Hilfiger en très bon état, petit défaut : voir photo, taille L enfant soit XS homme toute les mesures nécessaires sont en photo ! 
Vous avez la possibilité d’avoir des réductions si vous faites des lots, dites le moi si vous voulez faire un lot 😊

#1601"
43,TRÈS BON ÉTAT,49,"ROMAINVILLE, FRANCE",MCGREGOR ,M,2022-03-26 18:40:18.404535,Pull beige McGregor,10.0,"Porté vraiment rarement 
taille M"
44,NEUF SANS ÉTIQUETTE,205,"TIENEN, BELGIQUE / BELGIË",STONE ISLAND ,M,2022-03-28 18:40:18.404538,Stone island black turtleneck,160.0,"Stone island turtleneck in black
Size M
Only worn once 10/10
Price negotiable"
45,TRÈS BON ÉTAT,31,FRANCE,RALPH LAUREN ,XXL,2022-04-04 18:40:18.404540,Pull col cheminée Ralph Lauren gris chiné,53.0,"Pull col cheminée Ralph Lauren gris chiné 

Taille XXL

Très bon état"
46,TRÈS BON ÉTAT,99,"SAINT-DIVY, FRANCE",CARHARTT ,M,2022-04-04 15:40:18.404543,Pull à col roulé carhartt,35.0,"👔 Pull à col roulé gris Carhartt 
✅ En très bon état (porté 1ou 2 fois)
❌ Aucune taches ni marque d’usure
📏 Taille normalement (M)"
47,TRÈS BON ÉTAT,194,"AIX-EN-PROVENCE, FRANCE",AMI ,S,2022-04-02 18:40:18.404545,Pull ami,190.0,"Ami pull en laine avec col roulé 
Taille S oversize 
Ami paris
Authentique avec étiquette 

Pas d’échange palm Louis ysl off white AMI"
48,TRÈS BON ÉTAT,26,"PARIS, FRANCE",SANDRO ,S,2022-04-04 15:40:18.404548,Pull Sandro laine,50.0,Porté quelques fois. Bon état
49,BON ÉTAT,2,"LIMOGES, FRANCE",PETROL INDUSTRIES ,XS,2022-04-04 18:23:18.404551,Pull col cheminée,5.0,"Bon état, 80% acrylique et 20% polyamide."
50,TRÈS BON ÉTAT,115,PORTUGAL,H&M ,S,2022-03-29 18:40:18.404554,Camisola gola alta HM,2.0,"Camisola gola alta HM
Tamanho S
Utilizada 1 vez"
51,BON ÉTAT,5,"SAINT-BRICE-SOUS-FORÊT, FRANCE",IZAC ,XL,2022-04-04 16:40:18.404556,Pull bleu Izac,3.0,Porté mais en bon état
52,TRÈS BON ÉTAT,64,"CHOLET, FRANCE",TOMMY HILFIGER ,S,2022-03-29 18:40:18.404559,Pull col semi zippé Tommy Hilfiger 💠,50.0,"Pull col semi zippé Tommy Hilfiger, taille S en Très bon état. ✅ 

➗Je favorise les lot pour les réductions, donc n’hésitez pas à me contacter pour que je vous crée un lot 

🚚 Colis envoyer dans la journée ou le lendemain 

⛔️ N’hésitez pas à faire à faire un petit tour sur mon dressing je vend que de la marque deuxième main 

👥 Instagram : danbillpro pour avoir des news ainsi que des concours et avantages abonnés 

✅ 100% authentique 

🤔 Des questions, N’hésitez surtout pas 😋"
53,TRÈS BON ÉTAT,129,"LA ROCHE-SUR-YON, FRANCE",RALPH LAUREN ,M,2022-03-26 18:40:18.404562,Pull Ralph Lauren💠,60.0,"✅ Pull Ralph Lauren, taille M en Très bon état.

🚚 Colis envoyé rapidement 24/48h

🌸 N’hésitez pas à faire un petit tour dans mon dressing j’ai énormément d’articles de marque

🛍 Vous pouvez faire une demande de lot pour avoir des réductions

😇 Si jamais vous avez des questions, n’hésitez pas je répondrai avec grand plaisir!"
54,TRÈS BON ÉTAT,1,"PENMARCH, FRANCE",CELIO ,XXL,2022-04-04 16:40:18.404564,Pull homme,5.0,très bon état
55,NEUF SANS ÉTIQUETTE,1,"LES ABRETS, FRANCE",URBAN WEAR ,XXL,2022-04-04 18:40:18.404567,Pull urban wear xxl,20.0,Pull urban wear xxl
56,NEUF SANS ÉTIQUETTE,3,"CONFORT-MEILARS, FRANCE",,L,2022-04-04 16:40:18.404569,Pull homme col roulé,16.0,"Pull homme col roulé taille L 
Neuf"
57,TRÈS BON ÉTAT,544,FRANCE,YVES SAINT LAURENT ,M,2022-04-04 18:40:18.404571,Pull col montant zippé Yves Saint Laurent,70.0,"◾️ Pull col montant avec un zip Yves Saint Laurent 

◾️ Couleur : Bordeaux 

🚚 Colis envoyé dans la journée.

✅ 100% Authentique.

⚠️ N’hésitez pas à me contacter pour plus d’informations"
58,TRÈS BON ÉTAT,130,"LA ROCHE-SUR-YON, FRANCE",RALPH LAUREN ,M,2022-03-26 18:40:18.404574,Pull Ralph Lauren💠,60.0,"✅ Pull Ralph Lauren, taille M en Très bon état.

🚚 Colis envoyé rapidement 24/48h

🌸 N’hésitez pas à faire un petit tour dans mon dressing j’ai énormément d’articles de marque

🛍 Vous pouvez faire une demande de lot pour avoir des réductions

😇 Si jamais vous avez des questions, n’hésitez pas je répondrai avec grand plaisir!"
59,NEUF AVEC ÉTIQUETTE,57,"MILANO, ITALIA",IMPERIAL ,M,2022-03-29 18:40:18.404576,"Maglione nero dolcevita, taglia M",30.0,"Articolo nuovo, mai usato"
60,TRÈS BON ÉTAT,160,"VERGT, FRANCE",STONE ISLAND ,XL,2022-03-29 18:40:18.404579,Pull Stone Island,90.0,like new
61,NEUF SANS ÉTIQUETTE,4,"CONFORT-MEILARS, FRANCE",,L,2022-04-04 16:40:18.404581,Pull homme col roulé,16.0,"Pull homme col roulé taille L 
Neuf"
62,NEUF SANS ÉTIQUETTE,16,"AIRVAULT, FRANCE",FIREFLY ,S,2022-04-02 18:40:18.404584,Pull à col roulé,4.0,Portée quelques fois
63,TRÈS BON ÉTAT,1,"VÉTRIGNE, FRANCE",CELIO ,L,2022-04-04 18:36:18.404587,Pulls,2.0,Porté quelques fois
64,TRÈS BON ÉTAT,1,"BOISEMONT, FRANCE",BOSS HUGO BOSS ,L,2022-04-04 18:31:18.404590,Pull col montant,30.0,joli pull gris col montant tient chaud mais reste fin . agréable à porter
65,TRÈS BON ÉTAT,57,"CLAMART, FRANCE",DEVRED ,M,2022-03-23 18:40:18.404592,Colle roulé blanc,25.0,très peu porté et en très bon état aucune tache . Une très bonne qualité de tissu
66,TRÈS BON ÉTAT,68,"ROTTERDAM, NEDERLAND",ADIDAS ,M,2022-04-04 18:40:18.404595,Vintage Adidas Turtleneck,19.99,"vintage Adidas turtleneck in dark blue
condition:8/10
size M"
67,NEUF SANS ÉTIQUETTE,24,"ROTTERDAM, NEDERLAND",WEEKDAY ,S,2022-04-04 18:40:18.404597,Weekday turtleneck in light brown,12.99,"Cool Weekday turtleneck in lightbrown, size S
Condition: 9/10, never worn"
68,TRÈS BON ÉTAT,452,"ROTTERDAM, NEDERLAND",SERGIO TACCHINI ,M,2022-04-04 18:40:18.404599,Vintage Sergio Tacchini puffer jacket in grey,49.99,"Very dope vintage Sergio Tacchini puffer jacket in grey size M
Condition: 8/10"
69,TRÈS BON ÉTAT,244,"ROTTERDAM, NEDERLAND",WASTED PARIS ,M / 38 / 10,2022-04-04 18:40:18.404604,Wastedparis hoodie,34.99,"dope Wastedparis hoodie in Burgundy size M
condition: 8.5/10"
70,BON ÉTAT,239,"ROTTERDAM, NEDERLAND",ADIDAS ,S,2022-04-04 18:40:18.404607,Vintage Adidas sweater in white,39.99,"very nice sweatshirt, in good condition still, fits like S/M"
71,NEUF SANS ÉTIQUETTE,4,NEDERLAND,BOMONT ,M,2022-04-04 15:40:18.404609,Crème coltrui,20.0,trui is als nieuw. heb deze voor kerst gekregn maar is mij te klein
72,TRÈS BON ÉTAT,5,"STRASBOURG, FRANCE",NAKETANO ,L,2022-04-04 16:40:18.404612,Pull/Sweat Gris Naketano Hiver Mixte,20.0,Très peu porté
73,TRÈS BON ÉTAT,2,"MAROMME, FRANCE",,XXXL,2022-04-04 18:40:18.404614,Col roulé homme taille 46,2.0,Très bon etat
74,NEUF SANS ÉTIQUETTE,1,ITALIA,,L,2022-04-04 18:40:18.404617,Maglione,15.0,OTTIMO AFFARE X CAMBIO TAGLIA.....COLORE NERO disegno tessile chevron
75,NEUF SANS ÉTIQUETTE,96,ESPAÑA,LACOSTE ,S,2022-04-04 13:40:18.404619,Jersey de cuello alto de Lacoste,30.0,poco usado y en un gran estado
76,NEUF AVEC ÉTIQUETTE,18,"JOUÉ-L’ABBÉ, FRANCE",U.S. POLO ASSN. ,M,2022-04-01 18:40:18.404622,Sous pull,50.0,jamais poté
77,NEUF AVEC ÉTIQUETTE,24,"CASTELFRANCO EMILIA, ITALIA",DOPPELGÄNGER ,L,2022-03-30 18:40:18.404625,Maglione collo alto Doppelgänger,9.0,"Maglioncino collo alto Doppelgänger uomo taglia: L mai usato, con cartellino"
78,TRÈS BON ÉTAT,1,ITALIA,SERGIO REZZI ,XXXL,2022-04-04 18:40:18.404627,Maglietta maniche lunghe heavy cottone,12.0,Maglietta maniche lunghe heavy cottone. Bella. Caldo. Morbido.
79,BON ÉTAT,6,"LUCCA, ITALIA",,L,2022-04-04 15:40:18.404630,Maglione mix lana bianco,5.0,maglione uomo mix lana taglia L in ottime condizioni
80,TRÈS BON ÉTAT,71,"LIEDEKERKE, BELGIQUE / BELGIË",BIKKEMBERGS ,M,2022-03-26 18:40:18.404632,Bikkembergs trui vintage,15.0,coltrui UNISEX
81,NEUF AVEC ÉTIQUETTE,28,"JOUÉ-L’ABBÉ, FRANCE",U.S. POLO ASSN. ,XXXL,2022-04-01 18:40:18.404635,Sous pull,50.0,jamais porté
82,TRÈS BON ÉTAT,17,"FIRENZE, ITALIA",H&M ,S,2022-03-27 18:40:18.404638,Maglione S,7.0,"Maglione H&M S giallo ocra
Mezzo collo
Usato, in ottime condizioni"
83,TRÈS BON ÉTAT,1,"MILANO, ITALIA",FORNARINA ,S,2022-04-04 16:40:18.404641,Maglia Verde bottiglia con ampio collo ad anello Fornarina taglia S,8.0,in ottimo stato
84,TRÈS BON ÉTAT,159,"MONT-SAINT-AIGNAN, FRANCE",RALPH LAUREN ,L,2022-03-14 18:40:18.404644,Pull gilet 1/4 ZIP à col roulé Ralph Lauren gris - Exclusif 🐎,35.0,"Pull gilet 1/4 ZIP à col roulé Ralph Lauren gris - Exclusif 🐎

Taille : L pour homme

Mesures (à plat) :

- Hauteur : 68cm
- Épaules : 50cm
- Aisselles : 60cm
- Manches : 61cm

Acheter de la seconde main, c'est préserver la planète ♻️

Vêtement lavé et repassé avant envoi 🧽













(NVSPU1146)

#pull #hiver #ralph #lauren #tendance #mode #exclusif #vintage #brand #marque #destock #brade #trui #katoen #maglione #cotone #suéter #sueter #algodon #baumwolle #agasalho #algadao #winter #froid #confort #luxury #luxe #secondhand #secondemain #eco #moda #wear #bonplan #cool #fripe #fashion #retro #confortable #frip #friperie #outfit #nineties #90s #casual #style #chiner #boutique #shopping #vinted #friperieenligne #look

#NVS_pulls #NVS_PUmarques
#NVS_homme #NVS_HL"
85,NEUF SANS ÉTIQUETTE,33,ITALIA,BLAUER ,M,2022-04-04 18:40:18.404646,Blauer*Maglione*Pari Nuovo.,35.0,"Blauer*Maglione*Blu*Lana*
Tg.M*Bottoni Logati*
Pari Nuovo."
86,NEUF SANS ÉTIQUETTE,1,"MENEN, BELGIQUE / BELGIË",,XXXL,2022-04-04 15:40:18.404648,"Classique/ et passe partout, ce pull écru",10.0,"neuf, très belle qualité"
87,TRÈS BON ÉTAT,21,"MÂCON, FRANCE",RALPH LAUREN ,L,2022-04-02 18:40:18.404651,Zip Ralph Lauren,44.99,"Zip Ralph Lauren comme neuf ✅

D autres zip sont disponible dans mon dressing vinted de la même taille ↩️

Envoie rapide 📦

#sweatralphlauren #ralphlauren #zip #zipralphlauren #sweatralphlauren #poloralphlauren #vesteralphlauren #hoodieralphlauren"
88,NEUF SANS ÉTIQUETTE,34,ITALIA,BLAUER ,M,2022-04-04 18:40:18.404653,Blauer*Maglione*Pari Nuovo.,35.0,"Blauer*Maglione*Blu*Lana*
Tg.M*Bottoni Logati*
Pari Nuovo."
89,NEUF SANS ÉTIQUETTE,52,"SASSUOLO, ITALIA",VICOLO ,M,2022-03-27 18:40:18.404656,Maglione Vicolo,30.0,"Prezzo Retail: € 80,00
Condizioni: 10/10 mai usato
Taglia: UNICA
Prezzo trattabile"
90,TRÈS BON ÉTAT,201,"VILLENEUVE-TOLOSANE, FRANCE",RALPH LAUREN ,S,2022-03-29 18:40:18.404658,🐎Pull demi-zip Ralph Lauren🐎,65.0,"✅ Pull RL en parfait état

📦💨 Expédition rapide et soignée.

🙋🏻‍♂️ Je suis disponible et à votre écoute pour toutes questions sur mes articles.

👕👖 Réduction tarifaire sur les lots. Contactez moi pour en créer un.

💳 Frais d’expédition au tarif le plus faible 

🛎 Ne partez pas de mon dressing sans vous y être abonné, vous risqueriez de manquer un bon nombre de belles pièces à venir 🙂

*𝐴𝑐𝑐𝑒𝑠𝑠𝑜𝑖𝑟𝑒𝑠 𝑛𝑜𝑛 𝑓𝑜𝑢𝑟𝑛𝑖𝑠 (𝑏𝑜î𝑡𝑒..)
______

⚡️🔹✅ 𝗔𝗟𝗘𝗫𝗔𝗡𝗗𝗥𝗘.𝗦𝗛𝗢𝗣 ✅🔹⚡️"
91,NEUF SANS ÉTIQUETTE,2,"MELUN, FRANCE",SELECTED HOMME ,L,2022-04-04 18:40:18.404661,Pull col roulé,10.0,"pull col roulé gris foncé 
taille L"
92,TRÈS BON ÉTAT,2,"RENNES, FRANCE",,XS,2022-04-04 16:40:18.404663,Pull col roulé,6.0,Pull col roulé gris en bon état.
93,TRÈS BON ÉTAT,1,"CORTES DE LA FRONTERA, ESPAÑA",,L,2022-04-04 18:02:18.404666,"Jersey de lana , el color es como un azul grisáceo talla única",4.5,"Jersey de cuello vuelto es lana , color azul grisáceo"
94,TRÈS BON ÉTAT,41,"MACON, BELGIQUE / BELGIË",SÉZANE ,M,2022-04-02 18:40:18.404669,pull jaune sezane,50.0,pull à motif jaune. avec col
95,TRÈS BON ÉTAT,26,ESPAÑA,VINTAGE ,M,2022-04-04 18:40:18.404671,Jersey de punto Vintage 1/4 Zip,16.0,"🏵️ Jersey Vintage 🏵️
☑️ Talla M
☑️ Sin desperfectos
☑️ 100% original
📏 Medidas en fotos
👌🏻 Estado 10/10
🧽 Lavado
📦 Envíos en 24/48H
Cualquier duda preguntar. Acepto ofertas razonables 😉"
96,TRÈS BON ÉTAT,28,ESPAÑA,VINTAGE ,L,2022-03-16 18:40:18.404673,Jersey 70% lana 1/4 Zip,15.0,"☑️ Talla L/XL
☑️ Sin desperfectos
☑️ 100% original
📏 Medidas en fotos
👌🏻 Estado 9/10
🧽 Lavado
📦 Envíos en 24/48H
Cualquier duda preguntar. Acepto ofertas razonables 😉"
97,TRÈS BON ÉTAT,633,ESPAÑA,VINTAGE ,M / 38 / 10,2022-04-04 18:40:18.404676,Jersey Vintage Rosa,35.0,"🏵️ Jersey Vintage 🏵️
☑️ Talla M
☑️ Como nuevo
☑️ 100% original
📏 Medidas en fotos
👌🏻 Estado 10/10
🧽 Lavado
📦 Envíos en 24/48H
Cualquier duda preguntar. Acepto ofertas razonables 😉"
98,NEUF SANS ÉTIQUETTE,300,ESPAÑA,VINTAGE ,M,2022-04-04 18:40:18.404678,Jersey de punto Vintage,35.0,"🏵️ Jersey Vintage 🏵️
☑️ Talla M
☑️ Sin desperfectos
☑️ 100% original
📏 Medidas en fotos
👌🏻 Estado 10/10
🧽 Lavado antes de enviar
📦 Envíos en 24/48H
Cualquier duda preguntar. Acepto ofertas razonables 😉"
99,TRÈS BON ÉTAT,295,ESPAÑA,VINTAGE ,M,2022-04-04 18:40:18.404680,Jersey Vintage rombos,28.0,"🏵️ Jersey Vintage 🏵️
☑️ Talla M/L
☑️ Sin desperfectos
☑️ 100% original
📏 Medidas en fotos
👌🏻 Estado 10/10
🧽 Lavado antes de enviar
📦 Envíos en 24/48H
Cualquier duda preguntar. Acepto ofertas razonables 😉"
100,NEUF AVEC ÉTIQUETTE,17,"LISBON, PORTUGAL",RALPH LAUREN ,XL,2022-03-30 18:40:18.404683,Pullover cinzento da Ralph Lauren,45.0,o tamanho é Xl mas veste pequeno . fica bem a quem veste M/L
101,NEUF SANS ÉTIQUETTE,7,"AMSTERDAM, NEDERLAND",COS ,M,2022-04-04 16:40:18.404685,Coltrui Cashmere,10.0,heerlijke cashmere trui van Cos.
102,NEUF SANS ÉTIQUETTE,2,"TRANI, ITALIA",JOSEPH ,M,2022-04-04 18:11:18.404688,Maglione blu di lana e cashmere,40.0,"Quasi mai indossato, caldo e molto comodo"
103,TRÈS BON ÉTAT,16,"ITALY, ITALIA",TOMMY HILFIGER ,M,2022-03-21 18:40:18.404691,Tommy Hilfiger,30.0,"Pull
Size M
Condition 9/10
B7"
104,TRÈS BON ÉTAT,196,"CLARQUES, FRANCE",LACOSTE ,M,2022-03-26 18:40:18.404694,Col roulé Lacoste,40.0,"Col roulé Lacoste 
taille M (je fais 1m78) 
très bon état 
noir"
105,TRÈS BON ÉTAT,47,"BARCELONA, ESPAÑA",LACOSTE ,L,2022-04-04 18:40:18.404696,Pull Jersey Lacoste Orange Cream Logo Bordee L,30.0,"🔥pull unique trés exclusive🔥
Bordeé 🧵
⚡️9/10 en parfait état⚡️
 Expédition le jour même 📦
 100% d'origine🏷
Avez-vous besoin de mesures? Me demander!
 

Pull vintage Cotton camisa jersey rare vintage streetwear t sweater chaqueta abrigo cazadora harrington hoodie sudadera camisar"
106,BON ÉTAT,25,FRANCE,DEVRED ,L,2022-03-25 18:40:18.404699,Pull col roulé DEVRED gris,20.0,taille L
107,NEUF SANS ÉTIQUETTE,1,"TRUCHTERSHEIM, FRANCE",SLAM ,XL,2022-04-04 18:20:18.404702,Pull homme,15.0,"Très beau pull italien, de taille XXL mais correspond plus à XL"
108,TRÈS BON ÉTAT,1,"BARI, ITALIA",XAGON MAN ,M,2022-04-04 18:40:18.404704,Magione collo alto,15.0,"maglione collo alto di XM Collection, caldissimo e comodissimo, prezzo trattabile"
