,État,Designer,Taille,En ligne depuis le,nom,prix
48,Très bon état,Bonpoint,3 ans - jusqu'à 98cm ,2015-06-11,Rose tres clair Traduire,29 €
49,Bon état,Bonpoint,4 ans - jusqu'à 102cm ,2015-06-03,"Tee shirt manches longues Bonpoint, bon état
Traduire",24 €
50,Très bon état,The Kooples,S ,2013-07-11,"Un basique, sympa, pratique.Traduire",32 €
51,Très bon état,Bonpoint,6 mois - jusqu'à 67cm ,2012-05-24,"T-shirt à manches longues Bonpoint en très bon état, col rond, fermeture par deux boutons le long de l'épaule gauche. Le haut du t-shirt est en maille plus élastique.Traduire","30 €
+15 € Contrôle et authentification"
52,Très bon état,Soeur,10 ans - jusqu'à 142cm ,2013-11-15,"T-shirt manches longues rouge Sœur 
Taille 10 ansTraduire",31 €
53,Très bon état,N°21,48 IT,2017-11-27,"T-shirt noir à manches courtes imprimé DARLING avec haut à manches longues semi-transparent attaché. Tissu extérieur: 100% coton. Longueur 67 cm. Largeur d'épaule 42 cm. Largeur poitrine 50 cm, largeur taille 50 cm. Taille IT 48. Fabriqué e...Lire la suiteTraduire",84 €
54,Très bon état,Gerard Darel,38 FR,2019-06-08,jolie haut 38 40Traduire,22 €
55,Très bon état,See by Chloé,40 IT,2015-03-16,"Superbe T shirt blanc en coton résille 
Taille 40 IT Taille réelle 
36 FRTraduire","98,82 €"
56,Bon état,Kenzo,S ,2015-09-17,"superbe t-shirt Kenzo porté une fois.

Mixte.

couleur blanc imprimé noir et Kenzo jauneTraduire",57 €
57,Très bon état,Chloé,12 mois - jusqu'à 74cm ,2012-05-29,"T-shirt Chloé crèùe à manches longues, col rond, fermeture par gros boutonnage sur le devant et broderie effet dentelle sur les bords de la patte de boutonnage.Traduire","45 €
+15 € Contrôle et authentification"
58,Très bon état,Just Cavalli,XS ,2014-10-11,"Couleur léopard bleu , manche 3/4Traduire",48 €
59,Très bon état,Velvet,42 IT,2015-12-17,"T-shirt basique en VELOURS rouge col bateau large taille S (40/42) 
 
 94% coton 
 6% lycra 
Traduire",18 €
60,Très bon état,Tartine Et Chocolat,8 ans - jusqu'à 128cm FR,2016-04-09,"Tee short fille Tartine et Chocolat, de couleur corail, manches très courtes avec un dessin d'oiseau et petit bouton nacré avec noeud en tissu sur le devant. 93% coton et 7% élastane. Très agréable à porter, toucher peau de pêche. En excell...Lire la suiteTraduire",22 €
61,Très bon état,Comptoir Des Cotonniers,M ,2014-10-20,T SHIRT LEON MANCHE LONGUESTraduire,31 €
62,Bon état,Escada,42 EU,2019-11-11,"T-shirt à manches longues par Escada 
 
 Coupe: droite 
 Motif: couleur unie 
 Couleur: rose 
 Extra: décoré par garniture 
 Taille: DE42 
 État: bon 
 Une légère tache sur le devant.Traduire","94,11 €
+15 € Contrôle et authentification"
63,Très bon état,Gerard Darel,36 FR,2014-06-27,T-shirt manches courtes en cuir vert et poche en suède blanc.Traduire,120 €
64,Très bon état,Pringle Of Scotland,XS ,2015-04-10,"Pringle T-shirt
Size XS
57% cotton
43% otherTraduire",50 €
65,Très bon état,Moschino Love,42 IT,2015-05-29,"t-shirt love moschino devant noir avec point d'interrogation et dos blanc avec point d'exclamation 92% coton 8% élasthanne avec étiquette taille 42 utilisé deux fois 
 
Traduire",57 €
66,Très bon état,Pinko,S ,2015-11-04,"100% authentique Pinko T-Shirt Car Front Tank Top 
 
 Par Pinko nous avons ici ce magnifique débardeur. 
 Le haut est composé de 95% de coton et de 5% d'élasthanne de couleur noire. 
 T-shirt en coton Pinko avec un décolleté en U avec une v...Lire la suiteTraduire","47 €
+15 € Contrôle et authentification"
67,Bon état,Comptoir Des Cotonniers,XL International,2016-05-31,"Chemise à manches longues de Comptoir des Cotonniers en gris avec un joli motif de chien sur le devant, uni sur le dosTraduire",26 €
68,Très bon état,Dolce & Gabbana,50 IT,2016-02-05,Camiseta de Dolce&Gabbana. Serie Playboy.Traduire,"84,71 €"
69,Très bon état,Lanvin,S ,2013-07-07,"MAGNIFIQUE HAUT LANVIN
TAILLE S
FLEURS APPLIQUESTraduire","162,35 €"
70,Bon état,Marc by Marc Jacobs,XS ,2015-11-01,"tee-shirt marc by marc jacobs. imprimé géométrique rose et noir, très Bowie !
60% coton - 40% modal.
2 très légères traces type die au dos.Traduire",38 €
71,Très bon état,Imps & Elfs,12 ans - XS ,2015-10-15,"Ravissant tshirt fille de la marque hollandaise Imps & Elfs en coton organique.
152cm = 12 ans
Excellent étatTraduire",24 €
72,Très bon état,Dsquared2,S ,2015-05-31,"100% Authentic DSquared2 White Collar Polo T-Shirt 

By DSquared2 we have here this lovely t-shirt
T-Shirt is composed of 100% cotton white fabric
Features a collard neck with button down front closure,short sleeves and front logo with ...Lire la suiteTraduire","101 €
+15 € Contrôle et authentification"
73,Bon état,Vanessa Bruno,L ,2014-09-10,Grey draped t-shirt with button up front and 2 pockets and neck tie. Label needs a cleanTraduire,"59,44 €"
74,Très bon état,Zara,S ,2015-08-18,Des conditions parfaitesTraduire,44 €
75,Très bon état,Christopher Kane,S ,2014-01-03,"Shirt printed abstract pattern. Size S. Measures: shoulder width: 38 cm, chest: 39 cm, length: 76 cm. Composition: 100% modal. 

Traduire","42,64 €"
76,Très bon état,Comptoir Des Cotonniers,M ,2013-09-13,"Never worn Comptoir des cottoniers t-shirt
Traduire",32 €
77,Jamais porté avec étiquette,Gucci,XXXL International,2022-04-09,"T-shirt GUCCI 100% original 
 Neuf Jamais porté 
 Taille XXXL - coupe slimTraduire","230 €
+15 € Contrôle et authentification"
78,Jamais porté avec étiquette,Supreme x The North Face,L International,2022-04-09,T-shirt Supreme X The North Face 2022Traduire,"90 €
+15 € Contrôle et authentification"
79,Jamais porté,Balenciaga,S International,2022-04-05,"T-shirt homme blanc oversize Balenciaga avec écriture ""I love techno"" multicolore. Jamais utilisé, encore avec étiquette !Traduire","160 €
+15 € Contrôle et authentification"
80,Jamais porté,Givenchy,12 years - XS UK,2022-04-01,"T-shirt original Givenchy fille 12 ans 
 Entièrement neuf, jamais porté. 
 Je vends pour la mauvaise taille 
Traduire",45 €
81,Très bon état,Dior,38 FR,2022-04-08,"t-shirt Dior, 38 mais taille plus petit (36)Traduire","200 €
+15 € Contrôle et authentification"
82,Jamais porté,Fendi,M International,2022-04-06,T-shirt Fendi patch logo en noir • Neuf avec étiquettes •Traduire,"232,57 €
+15 € Contrôle et authentification"
83,Jamais porté,Acne Studios,M International,2022-04-02,T-shirt oversize inutilisé à manches longuesTraduire,"60 €
+15 € Contrôle et authentification"
84,Jamais porté avec étiquette,Zadig & Voltaire,M International,2022-04-05,T-shirt noir à rayures blanches et le mot LOVE écrit au dos. Taille M. Neuf avec étiquette.Traduire,"59 €
+15 € Contrôle et authentification"
85,Très bon état,Zadig & Voltaire,XS International,2022-04-04,"T-shirt en coton Zadig et Voltaire. 
Taille XS. 
Presque pas porté. Aucun signe visible d'utilisation. 
Matière très douce.Traduire",30 €
86,Bon état,Givenchy,40 FR,2022-04-06,"T-shirt Givenchy en cuir d'agneau rose pâle 
 Légère tache sur le devant et légères traces d'eau dues à un nettoyage à sec inapproprié - marques uniquement perceptibles à la lumière vive et probablement amovibles par un expert en cuir.Traduire","232,57 €"
87,Bon état,Zadig & Voltaire,XS International,2022-04-03,"T-shirt Zadig et Voltaire les filles peuvent tout faire. 
Il s'agit d'une taille L pour enfant, mais qui correspond à un XS-S pour femme. 
 Légèrement usé, l'état est visible sur la photo en gros plan. 

Traduire","27 €
+15 € Contrôle et authentification"
88,Jamais porté,Adidas,XXL International,2022-04-04,"T-shirt adidas x simpson 
 Vendu erreur de taille 
 Porté une foisTraduire","25 €
+15 € Contrôle et authentification"
89,Jamais porté,Adidas,36 IT,2022-04-04,T-shirt ajusté sportifTraduire,"25 €
+15 € Contrôle et authentification"
90,Très bon état,Givenchy,XS International,2022-04-02,"t-shirt avec emblème lumineux Givenchy, oversizeTraduire",115 €
91,Correct,Nike,S International,2022-04-05,T-shirt NikeTraduire,"20 €
+15 € Contrôle et authentification"
92,Jamais porté avec étiquette,Casablanca,L International,2022-04-07,"T-shirt manches courtes ""cocktail ingredients"" imprimé grand dans le dos et petit sur le devant côté gauche.
 Collection SS22 maintenant en boutique
 La taille est grande mais verte comme un médiumTraduire","95 €
+15 € Contrôle et authentification"
93,Très bon état,Vetements,S International,2022-04-01,T-shirt Vetements gris porté que quelques foisTraduire,"150 €
+15 € Contrôle et authentification"
94,Très bon état,Adidas,S International,2022-04-04,"T-shirt Adidas en très bon état 
Taille STraduire","20 €
+15 € Contrôle et authentification"
95,Très bon état,Undercover,L International,2022-04-01,"T-shirt Vintage Undercover life & death 

taille 3 

fabriqué au japon 

saison 2007 (environ) [[2] ]
100 % authentique et RARE !!!Traduire","59 €
+15 € Contrôle et authentification"
96,Bon état,Balmain For H&M,XS International,2022-04-05,"T-shirt Balmain x H&M avec T-shirt, taille XS. Il a été porté et a deux très petits trous sur le devant comme le montre la photo. Pas si visible une fois porté. Il est livré avec le cintre d'origine.Traduire",27 €
97,Très bon état,Michael Kors,34 FR,2022-03-31,"T-shirt noir michael kors en parfait état. Mettre à une seule occasion. C'est un XS large, ça ne rentre pas.Traduire",36 €
98,Très bon état,John Elliot,L International,2022-04-01,T shirt tie die Toni Grigio/Celeste shorts sleeves boxyTraduire,27 €
99,Bon état,Donna Karan,36 FR,2022-04-03,"T-shirt à manches longues DKNY Active, empiecement à l'avant 90% nylon, le reste du t-shirt entièrement en mesh et Nylon. Il est très confortable et plutôt sensuel, ce qui rend la pièce intéressante.Traduire",20 €
100,Jamais porté,Ottolinger,M International,2022-04-05,"T-shirt texturé
RareTraduire","349 €
+15 € Contrôle et authentification"
101,Très bon état,Raf Simons,M International,2022-04-07,T-shirt tournée coréenne par Raf Simons. Acheté à la braderie Raf Simons à Anvers. Sans défauts.Traduire,"220 €
+15 € Contrôle et authentification"
102,Bon état,Maison Martin Margiela,L International,2022-04-07,T-shirt Soleil Maison Margiela. T-shirt imprimé en coton noir Taille large convient à moyen/large. T-shirt rare. Excellent état nettoyé à sec après chaque utilisation. Prix de vente conseillé 200 £Traduire,"90,44 €
+15 € Contrôle et authentification"
103,Bon état,Raf Simons,S International,2022-04-07,T-shirt RAF Simons x Fred Perry. Porté quelques fois.Traduire,"110 €
+15 € Contrôle et authentification"
104,Très bon état,Givenchy,12 ans - XS FR,2022-04-07,T-shirt Givenchy enfantTraduire,55 €
105,Jamais porté,CALVIN KLEIN JEANS,S International,2022-04-08,"T-shirt en parfait état, jamais porté.Traduire","20 €
+15 € Contrôle et authentification"
106,Très bon état,Moschino,XS International,2022-04-06,T-shirt oversize Moschino couture taille XS 100% coton avec mention fauxmoschino - état impeccableTraduire,"40 €
+15 € Contrôle et authentification"
107,Jamais porté,Non Signé / Unsigned,L International,2022-04-08,"T-shirt Diego Venturino 100% coton, noir avec graphismes sur le devant 
 Excellente coupe, tissu doux et confortable.Traduire","20 €
+15 € Contrôle et authentification"
108,Très bon état,GUESS,6 mois - jusqu'à 67cm FR,2022-04-07,"t-shirt ample à motifs et short fushia avec nœuds sur les côtés, 3-6 moisTraduire","22 €
+15 € Contrôle et authentification"
109,Bon état,JC De Castelbajac,36 FR,2022-04-06,"T-shirt JC de Castelbajac des années 90, avec imprimé billets de banque, esprit pop-art.

Poitrine : 80cm
Taille : 70cm
Longueur : 56cm[[ 2]]
Bon état pour un vêtement vintage, l'imprimé s'est un peu usé mais a toujours fière allure.
Traduire","34 €
+15 € Contrôle et authentification"
110,Bon état,Philipp Plein,S International,2022-04-04,"T-shirt Philipp Plein avec strass. Certaines pierres peuvent déjà être éteintes, mais vous ne pouvez les voir que si vous regardez de très près.Traduire","70 €
+15 € Contrôle et authentification"
111,Correct,Burberry,XXL International,2022-04-04,"t-shirt Burberry bleu marine d'occasion pour homme en XXL 
Le signe est légèrement flouté du lavage (voir photo) repassé comme presque neuf. 
bonnes choses 

Traduire","44 €
+15 € Contrôle et authentification"
112,Jamais porté,Adidas,S International,2022-04-04,"T-shirt Adidas fluo
Jamais porté 
Taille petitTraduire","35 €
+15 € Contrôle et authentification"
113,Très bon état,Non Signé / Unsigned,40 FR,2022-04-07,"t shirt comportant des mots cousu perlé dessus.
perles au complet sans défaut
t-shirt léger  taille L sans défautsTraduire","23 €
+15 € Contrôle et authentification"
114,Très bon état,MORGAN,38 FR,2022-04-08,"T-shirt doux et confortable, le rouge est plus intense que sur les photos.
Convient autant à une taille S que M.
Il fait chic et sexy.Traduire","20 €
+15 € Contrôle et authentification"
115,Très bon état,Non Signé / Unsigned,38 FR,2022-04-07,"t shirt blanc nacré, fluide et léger.
en parfait état 
taille MTraduire","23 €
+15 € Contrôle et authentification"
116,Bon état,Fendi,M International,2022-04-01,"T-shirt Fendi Beige Chest Logo 

Porté quelques fois mais bien entretenu, toujours nettoyé à sec.Traduire","180,89 €
+15 € Contrôle et authentification"
117,Très bon état,Dolce & Gabbana,40 IT,2022-04-03,"T-shirt à manches courtes Dolce & Gabbana Start, coupe excellente, en coton, rarement utilisé. coupe légèrement ajustée.Traduire","50 €
+15 € Contrôle et authentification"
118,Jamais porté,NEW ERA,XL International,2022-04-06,T-shirt manches courtes taille XL avec badges nba jamais utiliséTraduire,"25 €
+15 € Contrôle et authentification"
119,Très bon état,Fendi,XXS International,2022-04-08,T-shirt FENDI SUR TAILLETraduire,"250 €
+15 € Contrôle et authentification"
120,Très bon état,Non Signé / Unsigned,38 IT,2022-04-06,"T-shirt manches longues, manches courtes avec encolure en ""V"", excellent état, aucune trace d'usure. couleur blanche avec encolure ornée de collier. taille STraduire","22 €
+15 € Contrôle et authentification"
121,Très bon état,Polo Ralph Lauren,S International,2022-04-03,"T-shirt Polo Ralph Lauren Ours, taille STraduire",35 €
122,Très bon état,Non Signé / Unsigned,44 IT,2022-04-06,"T-shirt extra large, long très confortable taille 44 en très bon étatTraduire","25 €
+15 € Contrôle et authentification"
123,Jamais porté avec étiquette,QUICKSILVER,42 FR,2022-04-05,T-shirt Coton Bio Quiksilver TAI DaiTraduire,"29 €
+15 € Contrôle et authentification"
124,Jamais porté avec étiquette,Juicy Couture,M International,2022-04-03,t-shirt nouveauTraduire,39 €
125,Très bon état,Marcelo Burlon,S International,2022-04-07,"T-shirt Marcello burlon en parfait état, taille comme un MTraduire","70 €
+15 € Contrôle et authentification"
126,Très bon état,Philipp Plein,XXL International,2022-04-07,"T-shirt homme Phillip Plein
motif strass sur le devant
Patch logo plein sur le cou
très rarement utilisé. Très bon état.
Traduire","128 €
+15 € Contrôle et authentification"
127,Jamais porté,Versace,46 IT,2022-04-07,t-shirt gianni VERSACE oversize jamais porté payé 405€Traduire,"200 €
+15 € Contrôle et authentification"
128,Très bon état,Non Signé / Unsigned,42 FR,2022-04-03,"t shirt fleural léger 
marque so sweet
possibilité de régler l'ouverture du dos nu.
doublure dans le bas du dos.
 légèrement décousu au niveau de la doublure mais non visible.
taille XLTraduire",26 €
129,Très bon état,Non Signé / Unsigned,36 FR,2022-04-02,"t shirt de sport noir avec des bandes rayé brillante.
taille S
marque athlitechTraduire","20 €
+15 € Contrôle et authentification"
130,Jamais porté,Versace,M International,2022-04-05,"T-shirt Versace
Jamais porté
Prix d'origine 700€Traduire","177,76 €"
131,Jamais porté,Fear of God ESSENTIALS,XL International,2022-04-05,"T-shirt Fear Of God Essentials Kids Beige Ringer
T-shirt à manches courtes en jersey de coton beige. Logo floqué en noir sur la poitrine.
Jamais porté (Neuf avec étiquette)

XL : 58-62""

 100% CotonTraduire","51,68 €"
132,Jamais porté,Alexander McQueen,L International,2022-04-03,"T-shirt blanc logo graffiti en taille L

Belles conditions 
Dimensions :
Épaules :47cm
Poitrine :54cm
Dos :73cmTraduire","240 €
+15 € Contrôle et authentification"
133,Correct,RVCA,L International,2022-04-02,"T-shirt édition spéciale RVCA avec l'artiste : Roberto Rodríguez Redondo, bon état mais avec des signes visibles d'âge (le graphique au dos est froissé) et sera repassé avant l'expéditionTraduire","20 €
+15 € Contrôle et authentification"
134,Très bon état,PEPE JEANS,40 FR,2022-04-03,t shirt blanc 3n très bon état peu porté Traduire,"16 €
+15 € Contrôle et authentification"
135,Très bon état,GCDS Mini,S International,2022-04-01,T-shirt GCDS taille S. Porté une fois. Condition excellente. Sans étiquette mais avec étiquette et code QR pour l'authenticité.Traduire,"75 €
+15 € Contrôle et authentification"
136,Très bon état,Versace,M International,2022-04-06,T-shirt maniche lunghe Versace sport bordeaux ottime condizioni cotone-elastenTraduire,"80 €
+15 € Contrôle et authentification"
137,Très bon état,Non Signé / Unsigned,XL International,2022-04-01,T-shirt Fyore Milano en excellent état.Traduire,30 €
138,Très bon état,Givenchy,S International,2022-04-03,T-shirt Givenchy au look détruitTraduire,"290 €
+15 € Contrôle et authentification"
139,Très bon état,Fendi,10 UK,2022-04-04,"T-shirt Fendi blanc 
Taille petit
Porté une fois 
Avec sac à poussièreTraduire","258,41 €
+15 € Contrôle et authentification"
140,Très bon état,CALVIN KLEIN JEANS,S International,2022-04-01,T-shirt Calvin Klein Jeans neuf sans défaut d'usureTraduire,"18 €
+15 € Contrôle et authentification"
141,Jamais porté avec étiquette,Dsquared2,M International,2022-04-02,t-shirt dsquared2 nera taglia M nuovaTraduire,"100 €
+15 € Contrôle et authentification"
142,Bon état,Chinatown market,M International,2022-04-08,T-shirt noir ”Call my avocat” par Chinatown Market. Taille M. Bon état.Traduire,"33 €
+15 € Contrôle et authentification"
143,Très bon état,Non Signé / Unsigned,40 FR,2022-04-07,"t shirt comportant des mots cousu perlé dessus.
perles au complet sans défaut
t-shirt léger  taille L sans défautsTraduire","23 €
+15 € Contrôle et authentification"
144,Très bon état,MORGAN,38 FR,2022-04-08,"T-shirt doux et confortable, le rouge est plus intense que sur les photos.
Convient autant à une taille S que M.
Il fait chic et sexy.Traduire","20 €
+15 € Contrôle et authentification"
145,Très bon état,Non Signé / Unsigned,38 FR,2022-04-07,"t shirt blanc nacré, fluide et léger.
en parfait état 
taille MTraduire","23 €
+15 € Contrôle et authentification"
146,Bon état,Fendi,M International,2022-04-01,"T-shirt Fendi Beige Chest Logo 

Porté quelques fois mais bien entretenu, toujours nettoyé à sec.Traduire","180,89 €
+15 € Contrôle et authentification"
147,Très bon état,Dolce & Gabbana,40 IT,2022-04-03,"T-shirt à manches courtes Dolce & Gabbana Start, coupe excellente, en coton, rarement utilisé. coupe légèrement ajustée.Traduire","50 €
+15 € Contrôle et authentification"
148,Jamais porté,NEW ERA,XL International,2022-04-06,T-shirt manches courtes taille XL avec badges nba jamais utiliséTraduire,"25 €
+15 € Contrôle et authentification"
149,Très bon état,Fendi,XXS International,2022-04-08,T-shirt FENDI SUR TAILLETraduire,"250 €
+15 € Contrôle et authentification"
150,Très bon état,Non Signé / Unsigned,38 IT,2022-04-06,"T-shirt manches longues, manches courtes avec encolure en ""V"", excellent état, aucune trace d'usure. couleur blanche avec encolure ornée de collier. taille STraduire","22 €
+15 € Contrôle et authentification"
151,Très bon état,Polo Ralph Lauren,S International,2022-04-03,"T-shirt Polo Ralph Lauren Ours, taille STraduire",35 €
