,État,Designer,Taille,En ligne depuis le,nom,prix
11,Jamais porté avec étiquette,Trussardi,M International,2020-10-02,Pull unisexe en laine et acrylique à col roulé bleu clair. Correspond à la taille indiquée sur l'étiquette. Petit logo en bas.Traduire,"115 €
+15 € Contrôle et authentification"
12,Bon état,Loro Piana,52 IT,2021-12-24,Haut à col roulé côtelé en laine bleue texturée Loro Piana. Taille de l'étiquette d'entretien : 52. Taille : UK 42 | États-Unis 42 | UE XL. 100% Laine. Condition excellente. L'article montre des signes d'utilisation douce. Veuillez noter qu...Lire la suiteTraduire,"345,99 €
+15 € Contrôle et authentification"
13,Bon état,Roberto Cavalli,40 IT,2021-11-25,Col roulé sans manches en laine marron Roberto Cavalli. Taille de l'étiquette d'entretien : IT 40. Taille : UK 8 | États-Unis 4 | UE 36. 70% Laine; 30% Cachemire. Condition excellente. L'article montre des signes d'utilisation douce. Veuill...Lire la suiteTraduire,"94,48 €
+15 € Contrôle et authentification"
14,Jamais porté avec étiquette,Aquascutum,L International,2020-12-01,"Pull unisexe en 90% laine et 10% cachemire, couleur bleu clair avec logo visible. Col roulé. Correspond à la taille indiquée sur l'étiquette.Traduire","125 €
+15 € Contrôle et authentification"
15,Jamais porté avec étiquette,Aquascutum,M International,2020-12-01,"Pull unisexe en 90% laine et 10% cachemire, couleur bleu clair avec logo visible. Col roulé. Correspond à la taille indiquée sur l'étiquette.Traduire","125 €
+15 € Contrôle et authentification"
16,Jamais porté avec étiquette,Aquascutum,XL International,2020-12-01,"Pull unisexe en 90% laine et 10% cachemire, couleur bleu clair avec logo visible. Col roulé. Correspond à la taille indiquée sur l'étiquette.Traduire","125 €
+15 € Contrôle et authentification"
17,Bon état,Yohji Yamamoto,3 0-5,2021-01-25,"Poitrine 50 cm
Longueur totale 68 cm

Pull col roulé 
Yohji Yamamoto y’s 
Taille 3 Japon (voir mesures)
En laine chiné rustique, finitions bord franc 
Plutôt unisexe dans la coupe 

En très bonne état à par un écart de maille devant, je ne ...Lire la suiteTraduire","144 €
+15 € Contrôle et authentification"
18,Très bon état,Juunj,S International,2021-12-21,"Pull à col roulé blanc cassé de JUUN.J en mélange de laine fine avec police GENDERLESS sur la poitrine.
Mélange de laine très doux. L'étiquette de composition et l'étiquette de taille ont été découpées. Superbe pièce unisexe !


Taille : sa...Lire la suiteTraduire",116 €
19,Très bon état,Non Signé / Unsigned,S International,2022-01-10,Acheté en Corée. Contient 30% de laine. Venez sans matériel d'étiquette. Porter rarement. Cols roulés chinés (couleur du fil beige/crème mélangé avec un peu de gris)Traduire,22 €
20,Jamais porté avec étiquette,Baum Und Pferdgarten,M International,2022-03-01,"Le col roulé de Baum und Pferdgarten est composé d'un mélange de laine et a un design sans manches. En raison de la finition douce du matériau, le modèle impressionne par sa sensation de confort. La pièce tendance à la mode est complétée pa...Lire la suiteTraduire",55 €
21,Très bon état,All Saints,S International,2022-02-02,"All Saints Wool Blend Mens Cardigan S (convient aux femmes de taille moyenne) Excellent état
Excellent état, comme neuf
Conception à col roulé flexible : vous pouvez l'enrouler de haut en bas
Parfait pour s'habiller de haut en bas
Je l'util...Lire la suiteTraduire","51,07 €"
22,Très bon état,Max Mara,S International,2019-12-19,"Pull à col roulé rayé marron et noir Max Mara, 45% mohair, 35% laine, 20% nylon. Taille S, convient au Royaume-Uni 10-12, français 38. Fabriqué en Italie.Traduire",77 €
23,Bon état,Jean Paul Gaultier,42 IT,2022-01-20,"DÉFILEZ VERS LE BAS POUR LES MESURES COMPLÈTES + IMPORTANT : Les lettres sont au dos et non sur le devant. Cool rare vintage noir, blanc et vert laine et acrylique surdimensionné robe/tricot unisexe de JUNIOR GAULTIER par JEAN PAUL GAULTIER...Lire la suiteTraduire",179 €
24,Bon état,Hugo Boss,S International,2022-01-27,Très beau pull à col roulé de Hugo dans une super qualité de laine vierge. Modèle unisexe ! Un fil a « échappé » mais aucune influence sur la portabilité (voir photo)Traduire,33 €
25,Jamais porté,Roberto Cavalli,S International,2021-10-14,"Pull col roulé ROBERTO CAVALLI première ligne.
Taille S, il est UNISEXE.
100% laine.
Couleur Noir.
Nouveau, disponible dès maintenant sur le site.Traduire",180 €
26,Jamais porté avec étiquette,Roberto Collina,46 UK - US,2021-11-11,Pull col roulé slim unisexeTraduire,"100 €
+15 € Contrôle et authentification"
27,Très bon état,Totême,S International,2022-03-07,"Pull à col roulé à rayures Toteme Signature.

Porté seulement quelques fois et je suis en excellent état.

Taille de créateur S. Je suis au Royaume-Uni 8/10 et s'adapte parfaitement. Style surdimensionné pour convenir au Royaume-Uni 8-12.

...Lire la suiteTraduire","434,09 €"
28,Bon état,Non Signé / Unsigned,L International,2020-10-11,"Pull col roulé 100% laine, bleu moutarde et noir sur le devant et noir uni au dos, fin mais très chaud, parfait état.Traduire",27 €
29,Très bon état,Whistles,M International,2020-11-28,"Magnifique Maxi robe rayée en laine mélangée sans manches de Whistles taille M 
 Fabriqué au Royaume-Uni. Superbes bottes et col roulé 
 Maison sans fumée 
 131 cm de long 
 51 cm de bras à bras avant 
 34 cm sur les épaules 
 Porté quelque...Lire la suiteTraduire",42 €
30,Très bon état,Karen Millen,10 UK,2021-12-22,"Pull à col roulé rouge foncé Karen Millen, taille UK 10, excellent état
*** Pas sûr de la taille mais convient au Royaume-Uni 10, veuillez vous référer aux mesures 
[ [2]]Composition : 92 % laine, 7 % polyamide, 1 % élasthann

Mesures
...Lire la suiteTraduire","57,45 €
+15 € Contrôle et authentification"
31,Très bon état,Isabel Marant Etoile,2 0-5,2017-11-07,"Isabel Marant, pull uni, col roulé. Taille 2.Traduire","139 €
+15 € Contrôle et authentification"
32,Jamais porté,Max Mara Weekend,8 UK,2021-01-18,"Joli pull oversize en laine de MaxMara weekend, col rond sur le devant et col carré dans le dos. 6 modèles différents tricotés super élégants et bas irréguliers, le cou et l'épaule surdimensionnés se marient très bien avec toutes les chemis...Lire la suiteTraduire","319,18 €"
33,Jamais porté,Jean Paul Gaultier,XL International,2021-12-31,"Pull col roulé classique. Avec un grand logo JPG
Laine grise
Taille XL femelle, L mâle. 
unisexe JEAN'S Paul Gaultier.Traduire",115 €
34,Jamais porté avec étiquette,Roberto Collina,46 IT,2021-12-12,"Pull col roulé slim, unisexe.Traduire","120 €
+15 € Contrôle et authentification"
35,Jamais porté avec étiquette,Aquascutum,XL International,2020-11-30,Pull unisexe 90% laine et 10% cachemire couleur saumon. Col roulé. Correspond à la taille indiquée sur l'étiquette.Traduire,"125 €
+15 € Contrôle et authentification"
36,Jamais porté avec étiquette,Wolford,XS International,2022-02-27,"Robe en maille légère Wolford. 
Couleur rose poudré uni avec applications. 
Col roulé et manches longues.
Matière : Laine vierge
Longueur d'environ 90 cm
Taille XS. Neuf avec étiquette, jamais porté.
Livré avec sa boite d'origine. 
Prix bou...Lire la suiteTraduire","175 €
+15 € Contrôle et authentification"
37,Très bon état,Pinko,40 IT,2021-01-25,"Robe PINKO 
 
 Taille IT: 40Composition: 70% laine vierge, 28% viscose, 2% élasthanne.Longueur: 48 cm Largeur poitrine: 40 cmDétails: uni, fermeture zippée sur le côté, col roulé, sans manches.Etat: excellent.Traduire",45 €
38,Très bon état,Non Signé / Unsigned,L International,2022-02-05,"Pull à col roulé vintage unisexe Devant le motif tissé. Modèle taille L oversize, coloris noir et blanc.
 Etiquette de composition coupée mais il s'agirait de laine et d'angora, notamment une laine très fine réalisée à partir de fourrure de...Lire la suiteTraduire",43 €
39,Correct,Alexander McQueen,40 IT,2021-12-19,Robe à col roulé en soie mélangée noire Alexander McQueen. Taille de l'étiquette d'entretien : IT 40. Taille : UK 8 | États-Unis 4 | UE 36. 40% Soie; 36 % de viscose ; 24% Laine. Bonne condition. L'article est bien entretenu et présente des...Lire la suiteTraduire,"203 €
+15 € Contrôle et authentification"
40,Très bon état,Dolce & Gabbana,40 IT,2022-01-28,Dolce & Gabbana Robe noire à manches longues et col roulé en viscose mélangée. Taille de l'étiquette d'entretien : 40. Taille : UK 8 | États-Unis 4 | UE 36. 80 % viscose ; 20% Laine. État impeccable. L'article ne montre aucun signe d'utilis...Lire la suiteTraduire,"201,72 €
+15 € Contrôle et authentification"
41,Bon état,Non Signé / Unsigned,Taille Unique International,2021-04-15,"Manteau rétro 
 Tweed Boucl & amp; amp; amp; amp; amp; amp; amp; amp; amp; 
 
 Coupe évasée 
 Large en bas [ [2]] Proposé avec ceinture Non inclus 
 
 Vintage Exclusive 
 Par le groupe Max Mara 
 
 Traitement Chevron 
 D'un Tweed de laine 
...Lire la suiteTraduire",63 €
42,Bon état,Balenciaga,36 FR,2021-12-14,"PULL LOGO BALENCIAGA 

- Pull COL ROULÉ
- coupe oversize 
- unisexe 
- bonne qualité
- rare [[2] ]- 70% laine vierge, 30% cachemire
Traduire",650 €
43,Très bon état,Gianni Versace,44 IT,2022-01-07,"Ce superbe manteau vintage Gianni Versace Couture de l'automne 1993 est 
 confectionné à partir d'un bouclé de laine noir chaud avec des lignes de motifs en losanges blancs. 
Il présente de nombreux détails magnifiques tels que les boutonni...Lire la suiteTraduire","1500 €
+15 € Contrôle et authentification"
44,Très bon état,James Galanos,Taille Unique International,2021-05-18,"Somptueux manteau en laine gris Galanos Haute Couture vendu chez Saks Fifth Avenue, avec un motif chic à carreaux colorés. 
 L'attention portée aux nombreux détails raffinés est emblématique de la Maison Galanos, cette pièce Haute Couture e...Lire la suiteTraduire",713 €
45,Très bon état,Thom Browne,40 IT,2021-01-01,"Divisée par quatre tissus distincts, la veste matelassée Funmix passe des rayures au pied-de-poule, prenant une pause avec une armure toile avant de passer à un motif Prince de Galles. Échangez votre bombardier et vos motards fidèles contre...Lire la suiteTraduire","1085,21 €"
46,Bon état,Balenciaga,42 FR,2021-11-30,"~ Pull logo Balenciaga
~ Pull col roulé
~ peut être porté unisexe 
~ coupe oversize 
~ Taille FR 42, convient à beaucoup de tailles,
veuillez vous référer aux mesures 
~ jamais porté, neuf 
~ 70% laine, 30% cachemire 
~ style unique...Lire la suiteTraduire",499 €
47,Jamais porté,Prada,44 IT,2022-02-15,"Prada. Neuf, jamais porté ! 
 Maxi pull en mohair doux, unisexe. Une maille côtelée sophistiquée à rayures rouges et blanches sur une base couleur camel, pour ce maxi pull, aux manches raglan, et au large col rond. Ce vêtement convient aux ...Lire la suiteTraduire",550 €
48,Très bon état,Lemaire,44 FR,2021-12-25,"Pull col roulé en laine marron & noir très rare de chez Lemaire. Cet article est composé à 100 % de laine, veuillez donc noter que les matériaux sont beaucoup plus épais et différents du populaire pull à col roulé en jersey de coton de Lema...Lire la suiteTraduire","240,84 €"
49,Très bon état,Dolce & Gabbana,44 IT,2021-11-02,"blazer vintage DOLCE GABBANA col roulé en laine à chevrons gris IT44 M
Référence : GIYG/A00087
Marque : Dolce Gabbana
Matière : Laine
Couleur : Gris[[2] ]Motif : Uni
Fermeture : Zip
Détail supplémentaire : Tweed à chevrons. Col roulé en fau...Lire la suiteTraduire","322,93 €"
50,Très bon état,Maison Martin Margiela,M International,2022-02-26,"vintage MAISON MARGIELA pull col roulé coupe asymétrique en laine noire M
Référence : LNKO/A01866
Marque : Maison Margiela
Matière : Laine
Couleur : Noir[[2] ]Motif : uni
Détail supplémentaire : coupe asymétrique pour donner l'impression qu...Lire la suiteTraduire","546,50 €"
51,Très bon état,Alexander McQueen,S International,2021-10-15,"nouveau pull col roulé côtelé ALEXANDER MCQUEEN en laine noire mélangée angora S
Référence : AEMA/A00037
Marque : Alexander McQueen
Matière : Angora
Couleur : Noir[[2] ]Motif : Uni
Détail supplémentaire : Col roulé châle côtelé. Manches lon...Lire la suiteTraduire","248,41 €"
52,Jamais porté avec étiquette,Loewe,M International,2021-10-21,"new LOEWE pull col roulé en grosse maille jaune robe jupe transparente M
Référence : TGAS/B01051
Marque : Loewe
Designer : JW Andersdon
Matière : Laine[[2 ]]Couleur : Jaune
Motif : Uni
Détail supplémentaire : Robe caraco amovible nude.
Fabr...Lire la suiteTraduire","409,88 €"
53,Très bon état,Fabiana Filippi,S International,2021-08-27,"Le pull FABIANA FILIPPI est proposé dans une laine mérinos noire avec une bordure en ruban marron et un col roulé. Fabriqué en Italie.Très bon
État d'occasion. 

Marqué : I 42/S 

Mesures : 
 
Épaule : 16 pouces Buste : 34 pouces Manche : 2...Lire la suiteTraduire","140,09 €"
54,Très bon état,Nina Ricci,1 US,2021-03-11,Nina Ricci fait une forte déclaration en couches pour l'automne avec ce cardigan bleu marine à nouer sur le devant en laine et cachemire mélangés. Cette couleur bleu marine durera des années à venir et s'agencera bien avec votre garde-robe....Lire la suiteTraduire,"481,56 €
+15 € Contrôle et authentification"
55,Très bon état,Non Signé / Unsigned,10 UK,2021-11-29,"Cardigan oversize en laine, gris foncé avec du multi coloré, épais et lourd. Va très bien avec un jean et des cols roulés.Traduire","58,85 €
+15 € Contrôle et authentification"
56,Très bon état,Rick Owens,40 FR,2022-02-27,"RICK OWENS LILIES pull col roulé manches dolman gris poussière IT40 S
Référence : MELK/A00050
Marque : Rick Owens
Couleur : Gris
Motif : Uni[[2 ]]Détail supplémentaire : col roulé. Manches chauve-souris. Coupe ample.
Fabriqué en : Italie

C...Lire la suiteTraduire","145,32 €"
57,Très bon état,Ralph Lauren Collection,S International,2020-12-07,"Le pull POLO by RALPH LAUREN est en laine olive / angora avec une bordure en daim avec un faux col roulé et une fermeture boutonnée. 
 Très bon état d'occasion.Mesures: Épaule: 17 po. . Manche: 27 po. Longueur: 25 po. 
 
 SKU: 105894 
 Caté...Lire la suiteTraduire","78,80 €"
58,Très bon état,Brunello Cucinelli,M International,2021-09-26,"La robe BRUNELLO CUCINELLI est disponible dans une laine vierge aubergine avec une doublure avec un faux col roulé, une ligne trapézoïdale, des surpiqûres et une fermeture à glissière au dos. Fabriqué en Italie.Très bon
État d'occasion. 

M...Lire la suiteTraduire","397,90 €"
59,Très bon état,Armani Exchange,XS International,2022-02-11,"ARMANI EXCHANGE Pull noir à col roulé, tous les articles sont garantis authentiques.




Maille douce
Extensible[[2] ]]Encolure haute (ronde)
Manches longues
Uni 




Taille : XS[ [2]]

Numéro d'article : NN-123-1502




[[2 ]] Mensurations...Lire la suiteTraduire","65,18 €
+15 € Contrôle et authentification"
60,Jamais porté avec étiquette,Amen Papa,S International,2022-03-05,Col roulé unisexe entièrement neuf avec étiquetteTraduire,"173,76 €
+15 € Contrôle et authentification"
61,Très bon état,Khaite,XS International,2022-02-26,"KHAITE 100% laine manches bouffantes coutures contour arrondies pull col roulé court côtelé XS
Référence : LNKO/A01870
Marque : Khaite
Matière : Laine
Couleur : Blanc[[ 2]]Motif : uni
Détails supplémentaires : couture
Fabriqué en : Mongolie...Lire la suiteTraduire","546,50 €"
62,Très bon état,Joseph,XS International,2021-05-26,"JOSEPH Pull ajusté à col roulé 100% laine mérinos fine XS 
 Marque: Joseph 
 Nom du modèle / Style: Pull col roulé 
 Matière: Laine 
 Couleur: Marine [ [2]] Motif: uni 
 Détail supplémentaire: Pull col roulé Manches longues. Col roulé....Lire la suiteTraduire","136,63 €"
63,Très bon état,Chanel,44 FR,2022-02-27,"CHANEL Vintage 93A corset structuré en tweed bouclé rouge torsadé CC veste FR44
Référence : ZING/A00156
Marque : Chanel
Créateur : Karl Lagerfeld
Collection : 93A [[ 2]]Matière : Laine
Couleur : Rouge
Motif : Uni
Fermeture : Bouton
Détail s...Lire la suiteTraduire","3179,66 €"
64,Jamais porté,Non Signé / Unsigned,S International,2021-11-18,Gilet pull col roulé en laine et cachemire mélangés avec motif en maille torsadée.Traduire,"30 €
+15 € Contrôle et authentification"
65,Très bon état,Non Signé / Unsigned,40 FR,2021-10-30,"Col roulé en laine 
 Dimensions : 
 Col roulé 19 cm 
 Longueur pull 56 cm 
 Poitrine 46 cm (mesurée d'aisselle à aisselle) 
 Longueur manche 62 cm 
 
Traduire",27 €
66,Très bon état,Non Signé / Unsigned,S International,2022-03-06,"Pull écru sans manches col roulé en laine Vintage 

- Taille S
- Très bon étatTraduire","32 €
+15 € Contrôle et authentification"
67,Très bon état,Non Signé / Unsigned,42 FR,2021-10-06,Belle qualité pour ce pull chiné col roulé en laine . Parfait état. Coloris gris majoritaire. Taille 40/42Traduire,22 €
68,Très bon état,Non Signé / Unsigned,L International,2022-01-12,Col roulé en laine marronTraduire,"39 €
+15 € Contrôle et authentification"
69,Jamais porté,Non Signé / Unsigned,L International,2022-03-12,"Nouveau pull col roulé en laine pour femme et homme, travaillé en côtes très fines avec un motif côtelé sur le devant. Tg. L. Excellente finition et conceptionTraduire",97 €
70,Jamais porté,Non Signé / Unsigned,52 IT,2022-03-16,"Col roulé Extè 
 
 Col roulé en laine mélangée. Élégant et particulier, à porter même sous une veste ou un blazer.Traduire","65 €
+15 € Contrôle et authentification"
71,Très bon état,Non Signé / Unsigned,40 FR,2021-12-12,"Joli pull avec des poches col roulé en laine. 
Dimensions longueur 66cm 
Manches 60cm 
Col déroulé 24cm 
Couleur pastel bleu ton mélange avec nuance de brillance.
Manque étiquette de composition 
Taille 2
38 40 
Très chaud Traduire",35 €
72,Très bon état,Non Signé / Unsigned,M International,2022-03-12,"Pull col roulé en laine, comme neuf, aucun défaut, doux et chaud, pour homme et femme. Tg. M. Excellente fabrication et conceptionTraduire",97 €
73,Jamais porté,Non Signé / Unsigned,S International,2022-03-12,"Nouveau pull col roulé en laine et élasthanne, pour femme et homme, doux, chaud, près du corps. Tg. S. Excellente fabrication et conceptionTraduire",97 €
74,Très bon état,Non Signé / Unsigned,L International,2021-10-30,Pull col roulé en laine bleu et camel taille L en très bon étatTraduire,44 €
75,Jamais porté,Non Signé / Unsigned,S International,2022-03-07,"Nouveau col roulé en laine, soie et cachemire en solde pour cause d'erreur de tailleTraduire",60 €
76,Jamais porté,Non Signé / Unsigned,XXL International,2022-03-01,"Nouveau pull col roulé en laine, pour femme et homme, doux, chaud, long. Tg. XXL. Excellente finition et conceptionTraduire",93 €
77,Jamais porté avec étiquette,Non Signé / Unsigned,M International,2021-07-01,Pull violet à col roulé en laine. Taille M eu 10 UK. Jamais porté avec une étiquette. Qualité incroyable comme on peut le voir par la couleur forte.💓Traduire,"43,41 €"
78,Jamais porté,Non Signé / Unsigned,XL International,2022-02-04,"Nouveau pull col roulé, en laine, long et décoré sur les poignets et sur le bas, doux et très chaud, pour homme et femme. Tg. XL. Excellente finition et conceptionTraduire",138 €
79,Jamais porté,Non Signé / Unsigned,L International,2022-02-05,"Nouveau pull col roulé en laine, pour femme et homme, doux, chaud. Tg. L. Excellente fabrication et conceptionTraduire",125 €
80,Jamais porté,Non Signé / Unsigned,M International,2022-02-02,"Col roulé en laine vierge, pour homme et femme, doux et chaud. Tg. M. Excellente fabrication et conceptionTraduire",85 €
81,Très bon état,Non Signé / Unsigned,48 IT,2021-05-20,pull à col roulé en laine fleurieTraduire,32 €
82,Jamais porté,Non Signé / Unsigned,L International,2022-02-01,"Nouveau col roulé en laine pour femme et homme, entièrement réalisé en côtes verticales, doux, chaud, long. Tg. L. Excellente fabrication et conceptionTraduire",115 €
83,Jamais porté,Non Signé / Unsigned,M International,2022-02-05,"Nouveau pull col roulé en laine pour femme et homme, très doux et très chaud. Tg. M. Excellente fabrication et conceptionTraduire",128 €
84,Jamais porté,Non Signé / Unsigned,M International,2022-02-05,"Pull col roulé en laine vierge pour femme et homme, à grand col, moelleux, doux, chaud. Tg. M. Excellente fabrication et conceptionTraduire",128 €
85,Jamais porté,Non Signé / Unsigned,S International,2022-02-01,"Pull col roulé en laine vierge, long, doux et chaud, magnifique couleur. Tg. S. Traduire",85 €
86,Jamais porté,Non Signé / Unsigned,40 FR,2020-11-27,"Magnifique Pull col roulé en laine de bébé lama fait main.
point en grappe. 
Épaule à épaule 50cm
longueur manches 70cm
longueur depuis la nuque 80cm
Fabriqué en BolivieTraduire","304,41 €"
87,Très bon état,Non Signé / Unsigned,L International,2022-01-12,"Pull col roulé en laine pour femme et homme Sz. L. Comme neuf, aucun défaut. Excellente finition et conceptionTraduire",97 €
88,Jamais porté,Non Signé / Unsigned,M International,2022-01-04,"Nouveau pull col roulé, en laine, doux et chaud, pour homme et femme. Tg. S sur l'étiquette mais taille de L. Excellente finition et designTraduire",95 €
89,Très bon état,Non Signé / Unsigned,XL International,2022-01-15,"Pull col roulé en laine, pour femme et homme, doux, chaud, long. Belle couleur pervenche. Tg. XL. Comme neuf, aucun défaut. Excellente finition et conceptionTraduire",83 €
90,Jamais porté,Non Signé / Unsigned,M International,2021-12-31,"Nouveau pull col roulé en laine et angora, doux, chaud, court, côtelé, pour femme et homme. Tg. M. Excellente finition et conceptionTraduire",77 €
91,Jamais porté,Non Signé / Unsigned,S International,2021-12-20,Robe à col roulé en laine de Marino. Sans manches.Traduire,155 €
92,Très bon état,Non Signé / Unsigned,S International,2021-12-10,"TAILLE : l'étiquette indique la taille S, convient à la taille US 6, à la taille UK 10, à la taille I 42, à la taille UE 36. 
COULEUR : lilas. 
MATIÈRE : 100 % laine mérinos. 
CARACTÉRISTIQUES : installez-vous confortablement dans ce joli c...Lire la suiteTraduire","117 €
+15 € Contrôle et authentification"
93,Bon état,Non Signé / Unsigned,40 IT,2021-11-30,"Occasion, mais en bon état, couleur rose antique, col roulé en laine et angoraTraduire",51 €
94,Jamais porté avec étiquette,Non Signé / Unsigned,52 IT,2020-11-24,"Col roulé en laine, de la marque italienne historique, LES COPAINS produit par FBP. Marque leader de la maille et du total look des années 1960 à 2000. 
 La chemise comporte des losanges sur la poitrine et les manches et une petite plaque e...Lire la suiteTraduire",130 €
95,Très bon état,Non Signé / Unsigned,S International,2021-09-17,Pull col roulé en laine de couleur violette. Dans de très bonnes conditions.Traduire,"75,33 €"
96,Très bon état,Non Signé / Unsigned,S International,2021-09-17,Pull col roulé en laine de couleur violette. Dans de très bonnes conditions.Traduire,"75,33 €"
97,Jamais porté,Non Signé / Unsigned,XL International,2022-02-03,"Col roulé en laine vierge, pour femme et homme, doux, chaud. Tg. LTraduire",95 €
98,Très bon état,Non Signé / Unsigned,40 UK - US,2021-04-02,"Manteau en laine à double boutonnage Prince de Galles 
 Superbe manteau en laine gris Prince-de-Galles des années 80 d'excellente qualité, conçu par Philip Landau Bond Street Londres 
 Double boutonnage , six boutons sur le devant; Design...Lire la suiteTraduire","180 €
+15 € Contrôle et authentification"
99,Très bon état,Non Signé / Unsigned,XL International,2022-01-15,"Pull col roulé en laine et mohair, pour femme, sur une base rose, ravissants motifs vert pastel, violet, blanc. Tg. XL. Comme neuf, aucun défaut. Excellente finition et conceptionTraduire",75 €
100,Très bon état,Non Signé / Unsigned,L International,2022-03-14,Col roulé basique en laine grise. Construction légère en maille serrée. Parfait pour les garde-robes modulaires et minimalistes.Traduire,22 €
