,État,Marque,Date,nom,Prix,Description,cat
35,NEUF AVEC ÉTIQUETTES,AQUASCUTUM,2020-11-30,,125.0,PULL UNISEXE 90% LAINE ET 10% CACHEMIRE COULEUR SAUMON. COL ROULÉ. CORRESPOND À LA TAILLE INDIQUÉE SUR L'ÉTIQUETTE.TRADUIRE,Undefined
36,NEUF AVEC ÉTIQUETTES,WOLFORD,2022-02-27,,175.0,"ROBE EN MAILLE LÉGÈRE WOLFORD. 
COULEUR ROSE POUDRÉ UNI AVEC APPLICATIONS. 
COL ROULÉ ET MANCHES LONGUES.
MATIÈRE : LAINE VIERGE
LONGUEUR D'ENVIRON 90 CM
TAILLE XS. NEUF AVEC ÉTIQUETTE, JAMAIS PORTÉ.
LIVRÉ AVEC SA BOITE D'ORIGINE. 
PRIX BOU...LIRE LA SUITETRADUIRE",Fashion
37,TRÈS BON ÉTAT,PINKO,2021-01-25,,45.0,"ROBE PINKO 
 
 TAILLE IT: 40COMPOSITION: 70% LAINE VIERGE, 28% VISCOSE, 2% ÉLASTHANNE.LONGUEUR: 48 CM LARGEUR POITRINE: 40 CMDÉTAILS: UNI, FERMETURE ZIPPÉE SUR LE CÔTÉ, COL ROULÉ, SANS MANCHES.ETAT: EXCELLENT.TRADUIRE",Undefined
38,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2022-02-05,,43.0,"PULL À COL ROULÉ VINTAGE UNISEXE DEVANT LE MOTIF TISSÉ. MODÈLE TAILLE L OVERSIZE, COLORIS NOIR ET BLANC.
 ETIQUETTE DE COMPOSITION COUPÉE MAIS IL S'AGIRAIT DE LAINE ET D'ANGORA, NOTAMMENT UNE LAINE TRÈS FINE RÉALISÉE À PARTIR DE FOURRURE DE...LIRE LA SUITETRADUIRE",UltraFastFashion
39,SATISFAISANT,ALEXANDER MCQUEEN,2021-12-19,,203.0,ROBE À COL ROULÉ EN SOIE MÉLANGÉE NOIRE ALEXANDER MCQUEEN. TAILLE DE L'ÉTIQUETTE D'ENTRETIEN : IT 40. TAILLE : UK 8 | ÉTATS-UNIS 4 | UE 36. 40% SOIE; 36 % DE VISCOSE ; 24% LAINE. BONNE CONDITION. L'ARTICLE EST BIEN ENTRETENU ET PRÉSENTE DES...LIRE LA SUITETRADUIRE,Fashion
40,TRÈS BON ÉTAT,DOLCE & GABBANA,2022-01-28,,201.72,DOLCE & GABBANA ROBE NOIRE À MANCHES LONGUES ET COL ROULÉ EN VISCOSE MÉLANGÉE. TAILLE DE L'ÉTIQUETTE D'ENTRETIEN : 40. TAILLE : UK 8 | ÉTATS-UNIS 4 | UE 36. 80 % VISCOSE ; 20% LAINE. ÉTAT IMPECCABLE. L'ARTICLE NE MONTRE AUCUN SIGNE D'UTILIS...LIRE LA SUITETRADUIRE,Fashion
42,BON ÉTAT,BALENCIAGA,2021-12-14,,650.0,"PULL LOGO BALENCIAGA 

- PULL COL ROULÉ
- COUPE OVERSIZE 
- UNISEXE 
- BONNE QUALITÉ
- RARE [[2] ]- 70% LAINE VIERGE, 30% CACHEMIRE
TRADUIRE",Fashion
46,BON ÉTAT,BALENCIAGA,2021-11-30,,499.0,"~ PULL LOGO BALENCIAGA
~ PULL COL ROULÉ
~ PEUT ÊTRE PORTÉ UNISEXE 
~ COUPE OVERSIZE 
~ TAILLE FR 42, CONVIENT À BEAUCOUP DE TAILLES,
VEUILLEZ VOUS RÉFÉRER AUX MESURES 
~ JAMAIS PORTÉ, NEUF 
~ 70% LAINE, 30% CACHEMIRE 
~ STYLE UNIQUE...LIRE LA SUITETRADUIRE",Fashion
48,TRÈS BON ÉTAT,LEMAIRE,2021-12-25,,240.84,"PULL COL ROULÉ EN LAINE MARRON & NOIR TRÈS RARE DE CHEZ LEMAIRE. CET ARTICLE EST COMPOSÉ À 100 % DE LAINE, VEUILLEZ DONC NOTER QUE LES MATÉRIAUX SONT BEAUCOUP PLUS ÉPAIS ET DIFFÉRENTS DU POPULAIRE PULL À COL ROULÉ EN JERSEY DE COTON DE LEMA...LIRE LA SUITETRADUIRE",Fashion
49,TRÈS BON ÉTAT,DOLCE & GABBANA,2021-11-02,,322.93,"BLAZER VINTAGE DOLCE GABBANA COL ROULÉ EN LAINE À CHEVRONS GRIS IT44 M
RÉFÉRENCE : GIYG/A00087
MARQUE : DOLCE GABBANA
MATIÈRE : LAINE
COULEUR : GRIS[[2] ]MOTIF : UNI
FERMETURE : ZIP
DÉTAIL SUPPLÉMENTAIRE : TWEED À CHEVRONS. COL ROULÉ EN FAU...LIRE LA SUITETRADUIRE",Fashion
50,TRÈS BON ÉTAT,MAISON MARTIN MARGIELA,2022-02-26,,546.5,"VINTAGE MAISON MARGIELA PULL COL ROULÉ COUPE ASYMÉTRIQUE EN LAINE NOIRE M
RÉFÉRENCE : LNKO/A01866
MARQUE : MAISON MARGIELA
MATIÈRE : LAINE
COULEUR : NOIR[[2] ]MOTIF : UNI
DÉTAIL SUPPLÉMENTAIRE : COUPE ASYMÉTRIQUE POUR DONNER L'IMPRESSION QU...LIRE LA SUITETRADUIRE",Fashion
51,TRÈS BON ÉTAT,ALEXANDER MCQUEEN,2021-10-15,,248.41,"NOUVEAU PULL COL ROULÉ CÔTELÉ ALEXANDER MCQUEEN EN LAINE NOIRE MÉLANGÉE ANGORA S
RÉFÉRENCE : AEMA/A00037
MARQUE : ALEXANDER MCQUEEN
MATIÈRE : ANGORA
COULEUR : NOIR[[2] ]MOTIF : UNI
DÉTAIL SUPPLÉMENTAIRE : COL ROULÉ CHÂLE CÔTELÉ. MANCHES LON...LIRE LA SUITETRADUIRE",Fashion
52,NEUF AVEC ÉTIQUETTES,LOEWE,2021-10-21,,409.88,"NEW LOEWE PULL COL ROULÉ EN GROSSE MAILLE JAUNE ROBE JUPE TRANSPARENTE M
RÉFÉRENCE : TGAS/B01051
MARQUE : LOEWE
DESIGNER : JW ANDERSDON
MATIÈRE : LAINE[[2 ]]COULEUR : JAUNE
MOTIF : UNI
DÉTAIL SUPPLÉMENTAIRE : ROBE CARACO AMOVIBLE NUDE.
FABR...LIRE LA SUITETRADUIRE",Fashion
53,TRÈS BON ÉTAT,FABIANA FILIPPI,2021-08-27,,140.09,"LE PULL FABIANA FILIPPI EST PROPOSÉ DANS UNE LAINE MÉRINOS NOIRE AVEC UNE BORDURE EN RUBAN MARRON ET UN COL ROULÉ. FABRIQUÉ EN ITALIE.TRÈS BON
ÉTAT D'OCCASION. 

MARQUÉ : I 42/S 

MESURES : 
 
ÉPAULE : 16 POUCES BUSTE : 34 POUCES MANCHE : 2...LIRE LA SUITETRADUIRE",Undefined
56,TRÈS BON ÉTAT,RICK OWENS,2022-02-27,,145.32,"RICK OWENS LILIES PULL COL ROULÉ MANCHES DOLMAN GRIS POUSSIÈRE IT40 S
RÉFÉRENCE : MELK/A00050
MARQUE : RICK OWENS
COULEUR : GRIS
MOTIF : UNI[[2 ]]DÉTAIL SUPPLÉMENTAIRE : COL ROULÉ. MANCHES CHAUVE-SOURIS. COUPE AMPLE.
FABRIQUÉ EN : ITALIE

C...LIRE LA SUITETRADUIRE",Undefined
57,TRÈS BON ÉTAT,RALPH LAUREN COLLECTION,2020-12-07,,78.8,"LE PULL POLO BY RALPH LAUREN EST EN LAINE OLIVE / ANGORA AVEC UNE BORDURE EN DAIM AVEC UN FAUX COL ROULÉ ET UNE FERMETURE BOUTONNÉE. 
 TRÈS BON ÉTAT D'OCCASION.MESURES: ÉPAULE: 17 PO. . MANCHE: 27 PO. LONGUEUR: 25 PO. 
 
 SKU: 105894 
 CATÉ...LIRE LA SUITETRADUIRE",Undefined
58,TRÈS BON ÉTAT,BRUNELLO CUCINELLI,2021-09-26,,397.9,"LA ROBE BRUNELLO CUCINELLI EST DISPONIBLE DANS UNE LAINE VIERGE AUBERGINE AVEC UNE DOUBLURE AVEC UN FAUX COL ROULÉ, UNE LIGNE TRAPÉZOÏDALE, DES SURPIQÛRES ET UNE FERMETURE À GLISSIÈRE AU DOS. FABRIQUÉ EN ITALIE.TRÈS BON
ÉTAT D'OCCASION. 

M...LIRE LA SUITETRADUIRE",Fashion
59,TRÈS BON ÉTAT,ARMANI EXCHANGE,2022-02-11,,65.18,"ARMANI EXCHANGE PULL NOIR À COL ROULÉ, TOUS LES ARTICLES SONT GARANTIS AUTHENTIQUES.




MAILLE DOUCE
EXTENSIBLE[[2] ]]ENCOLURE HAUTE (RONDE)
MANCHES LONGUES
UNI 




TAILLE : XS[ [2]]

NUMÉRO D'ARTICLE : NN-123-1502




[[2 ]] MENSURATIONS...LIRE LA SUITETRADUIRE",Undefined
60,NEUF AVEC ÉTIQUETTES,AMEN PAPA,2022-03-05,,173.76,COL ROULÉ UNISEXE ENTIÈREMENT NEUF AVEC ÉTIQUETTETRADUIRE,Fashion
61,TRÈS BON ÉTAT,KHAITE,2022-02-26,,546.5,"KHAITE 100% LAINE MANCHES BOUFFANTES COUTURES CONTOUR ARRONDIES PULL COL ROULÉ COURT CÔTELÉ XS
RÉFÉRENCE : LNKO/A01870
MARQUE : KHAITE
MATIÈRE : LAINE
COULEUR : BLANC[[ 2]]MOTIF : UNI
DÉTAILS SUPPLÉMENTAIRES : COUTURE
FABRIQUÉ EN : MONGOLIE...LIRE LA SUITETRADUIRE",Fashion
62,TRÈS BON ÉTAT,JOSEPH,2021-05-26,,136.63,"JOSEPH PULL AJUSTÉ À COL ROULÉ 100% LAINE MÉRINOS FINE XS 
 MARQUE: JOSEPH 
 NOM DU MODÈLE / STYLE: PULL COL ROULÉ 
 MATIÈRE: LAINE 
 COULEUR: MARINE [ [2]] MOTIF: UNI 
 DÉTAIL SUPPLÉMENTAIRE: PULL COL ROULÉ MANCHES LONGUES. COL ROULÉ....LIRE LA SUITETRADUIRE",Undefined
64,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2021-11-18,,30.0,GILET PULL COL ROULÉ EN LAINE ET CACHEMIRE MÉLANGÉS AVEC MOTIF EN MAILLE TORSADÉE.TRADUIRE,UltraFastFashion
65,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2021-10-30,,27.0,"COL ROULÉ EN LAINE 
 DIMENSIONS : 
 COL ROULÉ 19 CM 
 LONGUEUR PULL 56 CM 
 POITRINE 46 CM (MESURÉE D'AISSELLE À AISSELLE) 
 LONGUEUR MANCHE 62 CM 
 
TRADUIRE",UltraFastFashion
66,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2022-03-06,,32.0,"PULL ÉCRU SANS MANCHES COL ROULÉ EN LAINE VINTAGE 

- TAILLE S
- TRÈS BON ÉTATTRADUIRE",UltraFastFashion
67,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2021-10-06,,22.0,BELLE QUALITÉ POUR CE PULL CHINÉ COL ROULÉ EN LAINE . PARFAIT ÉTAT. COLORIS GRIS MAJORITAIRE. TAILLE 40/42TRADUIRE,UltraFastFashion
68,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2022-01-12,,39.0,COL ROULÉ EN LAINE MARRONTRADUIRE,UltraFastFashion
69,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-03-12,,97.0,"NOUVEAU PULL COL ROULÉ EN LAINE POUR FEMME ET HOMME, TRAVAILLÉ EN CÔTES TRÈS FINES AVEC UN MOTIF CÔTELÉ SUR LE DEVANT. TG. L. EXCELLENTE FINITION ET CONCEPTIONTRADUIRE",Undefined
70,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-03-16,,65.0,"COL ROULÉ EXTÈ 
 
 COL ROULÉ EN LAINE MÉLANGÉE. ÉLÉGANT ET PARTICULIER, À PORTER MÊME SOUS UNE VESTE OU UN BLAZER.TRADUIRE",Undefined
71,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2021-12-12,,35.0,"JOLI PULL AVEC DES POCHES COL ROULÉ EN LAINE. 
DIMENSIONS LONGUEUR 66CM 
MANCHES 60CM 
COL DÉROULÉ 24CM 
COULEUR PASTEL BLEU TON MÉLANGE AVEC NUANCE DE BRILLANCE.
MANQUE ÉTIQUETTE DE COMPOSITION 
TAILLE 2
38 40 
TRÈS CHAUD TRADUIRE",UltraFastFashion
72,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2022-03-12,,97.0,"PULL COL ROULÉ EN LAINE, COMME NEUF, AUCUN DÉFAUT, DOUX ET CHAUD, POUR HOMME ET FEMME. TG. M. EXCELLENTE FABRICATION ET CONCEPTIONTRADUIRE",Undefined
73,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-03-12,,97.0,"NOUVEAU PULL COL ROULÉ EN LAINE ET ÉLASTHANNE, POUR FEMME ET HOMME, DOUX, CHAUD, PRÈS DU CORPS. TG. S. EXCELLENTE FABRICATION ET CONCEPTIONTRADUIRE",Undefined
74,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2021-10-30,,44.0,PULL COL ROULÉ EN LAINE BLEU ET CAMEL TAILLE L EN TRÈS BON ÉTATTRADUIRE,UltraFastFashion
75,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-03-07,,60.0,"NOUVEAU COL ROULÉ EN LAINE, SOIE ET CACHEMIRE EN SOLDE POUR CAUSE D'ERREUR DE TAILLETRADUIRE",Undefined
76,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-03-01,,93.0,"NOUVEAU PULL COL ROULÉ EN LAINE, POUR FEMME ET HOMME, DOUX, CHAUD, LONG. TG. XXL. EXCELLENTE FINITION ET CONCEPTIONTRADUIRE",Undefined
77,NEUF AVEC ÉTIQUETTES,NON SIGNÉ / UNSIGNED,2021-07-01,,43.41,PULL VIOLET À COL ROULÉ EN LAINE. TAILLE M EU 10 UK. JAMAIS PORTÉ AVEC UNE ÉTIQUETTE. QUALITÉ INCROYABLE COMME ON PEUT LE VOIR PAR LA COULEUR FORTE.💓TRADUIRE,UltraFastFashion
78,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-02-04,,138.0,"NOUVEAU PULL COL ROULÉ, EN LAINE, LONG ET DÉCORÉ SUR LES POIGNETS ET SUR LE BAS, DOUX ET TRÈS CHAUD, POUR HOMME ET FEMME. TG. XL. EXCELLENTE FINITION ET CONCEPTIONTRADUIRE",Undefined
79,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-02-05,,125.0,"NOUVEAU PULL COL ROULÉ EN LAINE, POUR FEMME ET HOMME, DOUX, CHAUD. TG. L. EXCELLENTE FABRICATION ET CONCEPTIONTRADUIRE",Undefined
80,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-02-02,,85.0,"COL ROULÉ EN LAINE VIERGE, POUR HOMME ET FEMME, DOUX ET CHAUD. TG. M. EXCELLENTE FABRICATION ET CONCEPTIONTRADUIRE",Undefined
81,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2021-05-20,,32.0,PULL À COL ROULÉ EN LAINE FLEURIETRADUIRE,UltraFastFashion
82,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-02-01,,115.0,"NOUVEAU COL ROULÉ EN LAINE POUR FEMME ET HOMME, ENTIÈREMENT RÉALISÉ EN CÔTES VERTICALES, DOUX, CHAUD, LONG. TG. L. EXCELLENTE FABRICATION ET CONCEPTIONTRADUIRE",Undefined
83,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-02-05,,128.0,"NOUVEAU PULL COL ROULÉ EN LAINE POUR FEMME ET HOMME, TRÈS DOUX ET TRÈS CHAUD. TG. M. EXCELLENTE FABRICATION ET CONCEPTIONTRADUIRE",Undefined
84,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-02-05,,128.0,"PULL COL ROULÉ EN LAINE VIERGE POUR FEMME ET HOMME, À GRAND COL, MOELLEUX, DOUX, CHAUD. TG. M. EXCELLENTE FABRICATION ET CONCEPTIONTRADUIRE",Undefined
85,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-02-01,,85.0,"PULL COL ROULÉ EN LAINE VIERGE, LONG, DOUX ET CHAUD, MAGNIFIQUE COULEUR. TG. S. TRADUIRE",Undefined
86,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2020-11-27,,304.41,"MAGNIFIQUE PULL COL ROULÉ EN LAINE DE BÉBÉ LAMA FAIT MAIN.
POINT EN GRAPPE. 
ÉPAULE À ÉPAULE 50CM
LONGUEUR MANCHES 70CM
LONGUEUR DEPUIS LA NUQUE 80CM
FABRIQUÉ EN BOLIVIETRADUIRE",Fashion
87,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2022-01-12,,97.0,"PULL COL ROULÉ EN LAINE POUR FEMME ET HOMME SZ. L. COMME NEUF, AUCUN DÉFAUT. EXCELLENTE FINITION ET CONCEPTIONTRADUIRE",Undefined
88,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-01-04,,95.0,"NOUVEAU PULL COL ROULÉ, EN LAINE, DOUX ET CHAUD, POUR HOMME ET FEMME. TG. S SUR L'ÉTIQUETTE MAIS TAILLE DE L. EXCELLENTE FINITION ET DESIGNTRADUIRE",Undefined
89,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2022-01-15,,83.0,"PULL COL ROULÉ EN LAINE, POUR FEMME ET HOMME, DOUX, CHAUD, LONG. BELLE COULEUR PERVENCHE. TG. XL. COMME NEUF, AUCUN DÉFAUT. EXCELLENTE FINITION ET CONCEPTIONTRADUIRE",Undefined
90,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2021-12-31,,77.0,"NOUVEAU PULL COL ROULÉ EN LAINE ET ANGORA, DOUX, CHAUD, COURT, CÔTELÉ, POUR FEMME ET HOMME. TG. M. EXCELLENTE FINITION ET CONCEPTIONTRADUIRE",Undefined
91,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2021-12-20,,155.0,ROBE À COL ROULÉ EN LAINE DE MARINO. SANS MANCHES.TRADUIRE,Undefined
93,BON ÉTAT,NON SIGNÉ / UNSIGNED,2021-11-30,,51.0,"OCCASION, MAIS EN BON ÉTAT, COULEUR ROSE ANTIQUE, COL ROULÉ EN LAINE ET ANGORATRADUIRE",Undefined
94,NEUF AVEC ÉTIQUETTES,NON SIGNÉ / UNSIGNED,2020-11-24,,130.0,"COL ROULÉ EN LAINE, DE LA MARQUE ITALIENNE HISTORIQUE, LES COPAINS PRODUIT PAR FBP. MARQUE LEADER DE LA MAILLE ET DU TOTAL LOOK DES ANNÉES 1960 À 2000. 
 LA CHEMISE COMPORTE DES LOSANGES SUR LA POITRINE ET LES MANCHES ET UNE PETITE PLAQUE E...LIRE LA SUITETRADUIRE",Undefined
95,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2021-09-17,,75.33,PULL COL ROULÉ EN LAINE DE COULEUR VIOLETTE. DANS DE TRÈS BONNES CONDITIONS.TRADUIRE,Undefined
96,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2021-09-17,,75.33,PULL COL ROULÉ EN LAINE DE COULEUR VIOLETTE. DANS DE TRÈS BONNES CONDITIONS.TRADUIRE,Undefined
97,NEUF SANS ÉTIQUETTE,NON SIGNÉ / UNSIGNED,2022-02-03,,95.0,"COL ROULÉ EN LAINE VIERGE, POUR FEMME ET HOMME, DOUX, CHAUD. TG. LTRADUIRE",Undefined
99,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2022-01-15,,75.0,"PULL COL ROULÉ EN LAINE ET MOHAIR, POUR FEMME, SUR UNE BASE ROSE, RAVISSANTS MOTIFS VERT PASTEL, VIOLET, BLANC. TG. XL. COMME NEUF, AUCUN DÉFAUT. EXCELLENTE FINITION ET CONCEPTIONTRADUIRE",Undefined
100,TRÈS BON ÉTAT,NON SIGNÉ / UNSIGNED,2022-03-14,,22.0,COL ROULÉ BASIQUE EN LAINE GRISE. CONSTRUCTION LÉGÈRE EN MAILLE SERRÉE. PARFAIT POUR LES GARDE-ROBES MODULAIRES ET MINIMALISTES.TRADUIRE,UltraFastFashion
