,État,Marque,TAILLE,Date,nom,Prix,Description
16,NEUF SANS ÉTIQUETTE,LEVI'S,XXXL / 46 / 18,2022-04-09,T SHIRT FEMME,25.0,"NEUF SANS ÉTIQUETTE 
2XL DONC 46/48"
17,NEUF SANS ÉTIQUETTE,PHILIPP PLEIN,S,2022-04-09,MAGNIFIQUE T-SHIRT PHILIP PLEIN.,65.0,"TAILLE S, JAMAIS MIS.
ALLEZ VOIR MON DRESSING."
18,NEUF AVEC ÉTIQUETTE,EMPORIO ARMANI,S,2022-04-09,MAGNIFIQUE T-SHIRT EMPORIO ARMANI NEUF AVEC ÉTIQUETTE TAILLE S,60.0,"MAGNIFIQUE T-SHIRT EMPORIO ARMANI NEUF AVEC ÉTIQUETTE TAILLE S, 100% AUTHENTIQUE AVEC CERTIFICAT. COULEUR ROUGE. 100% COTON.

CONSEIL TAILLE : PRENDRE SA TAILLE HABITUELLE."
19,TRÈS BON ÉTAT,THE KOOPLES,M,2022-04-09,T-SHIRT THE KOPPLES,45.0,"TRÈS BON ÉTAT 
TAILLE M"
20,NEUF SANS ÉTIQUETTE,SHEIN,XS / 34 / 6,2022-04-09,PETIT T-SHIRT,5.0,PETIT T-SHIRT POUR L’ÉTÉ SHEIN
21,TRÈS BON ÉTAT,NOBRAND,S / 36 / 8,2022-04-09,T-SHIRT BIANCA CON STAMPA FATTA A MANO,17.0,"IN OTTIME CONDIZIONI, STAMPA FATTA A MANO"
22,TRÈS BON ÉTAT,SUBDUED,XS / 34 / 6,2022-04-09,LEUKE T-SHIRT,7.5,"LEUK -SHIRT VAN SUBDUED, MAAT XS

•WIL JE MEER WETEN WAT VOOR MATERIAAL HET IS OF IETS ANDERS !! DAN KAN IK ALTIJD VOOR JE KIJKEN
•VERZENDEN DOE IK BINNEN DE 4 DAGEN 
•VASTE PRIJS"
23,TRÈS BON ÉTAT,SUPERDRY,XXL,2022-04-09,T SHIRT LOGO VINTAGE SUPERDRY GRIS XXL,11.5,LOGO EFFET VINTAGE TRÉS BON ÉTAT
24,NEUF AVEC ÉTIQUETTE,GUCCI,XXL,2022-04-09,T-SHIRT GUCCI X DISNEY,130.0,"NUOVO CON CARTELLINO
TAGLIA XXL
ORIGINALE
VENDO PER TAGLIA SBAGLIATA

NOUVEAU AVEC L'ÉTIQUETTE
TAILLE XXL
ORIGINAL
JE VENDS POUR LA MAUVAISE TAILLE"
25,NEUF AVEC ÉTIQUETTE,RALPH LAUREN,L,2022-04-09,T-SHIRT RALPH LAUREN,30.0,"T-SHIRT D'INTÉRIEUR DROIT POLO RALPH LAUREN EN COTON EST MUNI D'UN COL ROND CÔTELÉ ET DU PONY BRODÉ EN CONTRASTE SUR LE CÔTÉ GAUCHE DE LA POITRINE.
100% COTON
JAMAIS PORTÉ 
NEUF 
COULEUR NOIR

TAILLE : L

#RALPHLAUREN #TSHIRT #HOMME #TSHIRTRALPHLAUREN #RALPHLAURENHOMME #TSHIRTHOMME"
26,TRÈS BON ÉTAT,SUPERDRY,XXL,2022-04-06,T SHIRT LOGO SUPERDRY XXL NOIR,10.0,TRÉS BON ÉTAT
27,NEUF AVEC ÉTIQUETTE,RALPH LAUREN,L,2022-04-09,T-SHIRT RALPH LAUREN,30.0,"T-SHIRT D'INTÉRIEUR DROIT POLO RALPH LAUREN EN COTON EST MUNI D'UN COL ROND CÔTELÉ ET DU PONY BRODÉ EN CONTRASTE SUR LE CÔTÉ GAUCHE DE LA POITRINE.
100% COTON
JAMAIS PORTÉ 
NEUF 
COULEUR BLANC
TAILLE : L

#RALPHLAUREN #TSHIRT #HOMME #TSHIRTRALPHLAUREN #RALPHLAURENHOMME #TSHIRTHOMME"
28,TRÈS BON ÉTAT,PULL & BEAR,XS / 34 / 6,2022-04-09,T-SHIRT PULL&BEAR,7.0,VENDO T-SHIRT USATA POCHISSIME VOLTE E IN OTTIME CONDIZIONI 💛
29,NEUF AVEC ÉTIQUETTE,AMIRI,M,2022-04-07,AMIRI T-SHIRT,149.9,#AMIRI #TSHIRT #DESIGNER
30,NEUF AVEC ÉTIQUETTE,MOSCHINO,M / 38 / 10,2022-04-09,T-SHIRT MOSCHINO,80.0,"T-SHIRT OVERSIZE DI MOSCHINO, ORIGINALE, MOLTO COOL, UNISEX, NOUOVO CON CARTELLINI, TAGLIA M"
31,TRÈS BON ÉTAT,& OTHER STORIES,S / 36 / 8,2022-04-09,T-SHIRT & OTHER STORIES,20.0,"MAGLIETTA E ALTRE STORIE, TAGLIA 38 (MA È PIUTTOSTO PICCOLA, MEGLIO PER 36), USATA UNA VOLTA"
32,TRÈS BON ÉTAT,& OTHER STORIES,M,2022-04-04,T-SHIRT &OTHER STORIES,20.0,"BELLISSIMA T-SHIRT MISTO COTONE E LINO, BIANCA, TAGLIA 38. USATA POCHE VOLTE"
33,NEUF AVEC ÉTIQUETTE,THE KOOPLES,M,2022-04-06,T-SHIRT THE KOOPLES,80.0,"T-SHIRT THE KOOPLES, TAILLE M, NOIR AVEC LE LOGO TIGRE, NEUF JAMAIS PORTÉ.

IDÉAL POUR LA SAISON, À PORTER AVEC UN STYLE TOTAL BLACK ! 

#THEKOOPLES #THEKOOPLESADDICT #TIGERPRINT #TIGER #TSHIRT #BLACKTSHIRT"
34,TRÈS BON ÉTAT,ADIDAS,XS,2022-03-30,T-SHIRT ADIDAS ROUGE,10.0,"PORTÉ TRÈS PEU DE FOIS, TAILLE XS"
35,NEUF AVEC ÉTIQUETTE,CHIARA FERRAGNI,S,2022-03-27,T-SHIRT CHIARA FERRAGNI,75.0,REGALO MA È UNA TAGLIA S E IO PORTO LA L L HA PAGATA 98
36,NEUF SANS ÉTIQUETTE,MEGA X,XXXL / 46 / 18,2022-04-07,T-SHIRT,8.0,T-SHIRT TAILLE 46
37,NEUF AVEC ÉTIQUETTE,BALENCIAGA,M,2022-04-06,T-SHIRT BALENCIAGA,130.0,"T SHIRT BALENCIAGA LOVE. NUOVA MAI USATA. PRODOTTO ORIGINALE AUTENTICO. PREZZO RETAIL 545€. TAGLIA M

SHIRT AMOUR BALENCIAGA. NEUF JAMAIS UTILISÉ. PRODUIT D'ORIGINE AUTHENTIQUE. PRIX BOUTIQUE 545€. TAILLE M"
38,BON ÉTAT,MISBHV,L,2022-04-07,MISBHV EUPHORIA T-SHIRT BLACK,75.0,ICONIC MISBHV T-SHIRT IN BLACK SIZE L
39,NEUF SANS ÉTIQUETTE,ADIDAS,M / 38 / 10,2022-04-09,T-SHIRT ADIDAS,25.0,"MAI INDOSSATA, COME IN FOTO
ZERO IMPERFEZIONI
COME NUOVA
VESTE LARGA"
40,NEUF SANS ÉTIQUETTE,APESHIT,M,2022-04-03,T-SHIRT APESHIT SQUAD NOIR M,85.0,"PORTÉ UNE SEULE FOIS, TRÈS BON ÉTAT!!"
41,NEUF AVEC ÉTIQUETTE,PHILIPP PLEIN,XL,2022-04-09,MAGNIFIQUE T-SHIRT PHILIP PLEIN,85.0,"NEUF AVEC ÉTIQUETTES. ALLEZ VOIR MON DRESSING.
JAMAIS PORTÉ.
TAILLE XL"
42,NEUF SANS ÉTIQUETTE,ONLY,S / 36 / 8,2022-04-09,T-SHIRT ROSA VERO MODA + ORECCHINI ALYSS BIJOUX,15.0,"DELICATA T-SHIRT DAI TONI PASTELLO ROSA, ABBINATA A UN PAIO DI ORECCHINI CON PERLINE.
GLI ORECCHINI NON SONO MAI STATI INDOSSATI, MENTRE LA T- SHIRT SOLO UNA VOLTA, POI OVVIAMENTE LAVATA."
43,NEUF AVEC ÉTIQUETTE,MERKLOOS,M / 38 / 10,2022-04-09,T SHIRT LOVE,5.0,"T SHIRT 
S/M"
44,NEUF AVEC ÉTIQUETTE,OFF-WHITE,XL,2022-03-31,T-SHIRT ROSSA OFF-WHITE CON CROCE SFUMATA,89.0,"T-SHIRT MAI INDOSSATA CON TUTTI I TAGHETTINI ANCORA 
BUONA VESTIBILITA E QUALITÀ SUPER 
CONTATTATEMI PER MAGGIORI INFORMAZIONI"
45,TRÈS BON ÉTAT,H&M,XS,2022-04-09,T-SHIRT H&M,3.0,T-SHIRT H&M TAILLE XS
46,TRÈS BON ÉTAT,GIVENCHY,L,2022-04-09,T SHIRT GIVENCHY TAGLIA L,149.0,"INDOSSATA POCHISSIME VOLTE, COME NUOVA, PREZZO POCO TRATTABILE PERCHÉ GIÀ È REGALATA TAGLIA L ORIGINALISSIMA"
47,NEUF SANS ÉTIQUETTE,MY T-SHIRT,S,2022-04-09,LOTTO N. 5 MAGLIETTE UOMO NUOVE MY T-SHIRT,12.0,~ MATERIALE: COTONE ELASTICIZZATO NUOVA ~ MISURE: SPALLE CM 37 GIRO PETTO CM90 GIRO VITA CM 90 LUNGHEZZA CM 70
48,NEUF AVEC ÉTIQUETTE,PHILIPP PLEIN,S,2022-04-09,T-SHIRT PHILIPP PLEIN,80.0,T-SHIRT PHILIPP PLEIN NEUF TAILLE S
49,NEUF AVEC ÉTIQUETTE,PHILIPP PLEIN,S,2022-04-09,T-SHIRT PHILIPP PLEIN,80.0,T-SHIRT PHILIPP PLEIN NEUF TAILLE S
50,NEUF AVEC ÉTIQUETTE,VALENTINO,M,2022-03-31,T SHIRT VALENTINO GARAVANI,230.0,"T SHIRT COMPRATA UNA SETTIMANA FA, MAI INDOSSATA VERAMENTE MAI,LA TENGO ANCORA IN BUSTA MAI LAVATA E MAI MESSA. MUNITA DI CARTELLINO FARFETCH.PER QUALUNQUE INFORMAZIONE O ULTERIORI FOTO CONTATTATEMI IN PRIVATO."
51,TRÈS BON ÉTAT,LEVI'S,XS,2022-03-31,LEVI’S T-SHIRT,10.0,ZIET ER NOG PERFECT UIT! AMPER GEDRAGEN.
52,NEUF SANS ÉTIQUETTE,OFF-WHITE,S,2022-04-05,OFF WHITE ACTIVE T-SHIRT,115.0,"IN PERFETTE CONDIZIONI

COMODA E LEGGERA

NON VESTE OVERSIZE

FATTURA DISPONIBILE SOLO SE REALMENTE INTERESSATI

#OFFWHITE #OFFWHITEVIRGILABLOH #OFFWHITETSHIRT #ACTIVE #ACTIVEWEAR #HYPE"
53,NEUF SANS ÉTIQUETTE,PIMKIE,M / 38 / 10,2022-04-04,T-SHIRT BRODÉ,4.0,"T-SHIRT PIMKIE EN COTON RAYÉ BLEU ET BLANC, AVEC UNE JOLIE BRODERIE DE ROSE SUR LE DEVANT. JAMAIS PORTÉ."
54,BON ÉTAT,BALMAIN,M,2022-03-30,T-SHIRT BLANC IMPRIMÉ BALMAIN AUTHENTIQUE,65.0,"T-SHIRT BALMAIN BLANC AVEC LOGO PORTE QUELQUE FOIS AVEC UNE LÉGÈRE TÂCHE EN HAUT À GAUCHE QUI POURRAIT PARTIR JE PENSE, OUTRE CELA ÉTAT TRÈS BON."
55,TRÈS BON ÉTAT,TAPE À L'ŒIL,24-36 MOIS / 92-98 CM,2022-04-04,LOT T SHIRT,26.0,"TBE
3 ANS
DIVERSES MARQUES"
56,NEUF SANS ÉTIQUETTE,SUPREME,M,2022-04-09,T SHIRT SUPREME,60.0,"T SHIRT SUPREME PORTÉ UNE FOIS MAIS IL ME TAILLE TROP GRAND. 
N’HÉSITEZ PAS À ME CONTACTER POUR AVOIR DES INFOS OU ME FAIRE UNE OFFRE !"
57,NEUF SANS ÉTIQUETTE,WARREN WEBBER,L,2022-04-09,T-SHIRT NUOVA MA MACCHIATA,1.0,"SECONDO ME LAVARLA LE VANNO VIA LE MACCHIE 
MAI INDOSSATA"
58,NEUF SANS ÉTIQUETTE,YES MISS,M / 38 / 10,2022-04-09,T-SHIRT DONNA NUOVO,5.0,"IN COTONE 
MISURA S O M"
59,NEUF SANS ÉTIQUETTE,YES MISS,M / 38 / 10,2022-04-09,T-SHIRT,6.0,"NUOVA
IN COTONE ELASTICIZZATO"
60,TRÈS BON ÉTAT,FRED PERRY,S,2022-04-09,POLO T SHIRT FRED PERRY,15.0,"MAGLIETTA FRED PERRY IN OTTIME CONDIZIONI 
LOGO IN VISTA"
61,TRÈS BON ÉTAT,,L,2022-04-09,T-SHIRT UOMO,2.0,"IN COTONE 
OTTIME CONDIZIONI"
62,NEUF SANS ÉTIQUETTE,PALM ANGELS,M,2022-03-18,PALM ANGELS PALM T-SHIRT SIZE M AUTHENTIC,100.0,"NEW PALM ANGELS T-SHIRT SIZE M
ONLY WORN ONCE AND DRY CLEANED AFTER"
63,BON ÉTAT,GIVENCHY,L,2022-04-03,T SHIRT CON STAMPA GIVENCHY PARIS,140.0,"LEGGERMENTE USATA, MA SEMPRE BEN LAVATA E STIRATA. LE CONDIZIONI DELLA STAMPA SONO OTTIMALI, HO CONSERVATO ANCHE IL CARTELLINO."
64,NEUF SANS ÉTIQUETTE,JACK & JONES,M,2022-03-27,T-SHIRT,3.0,JAMAIS PORTÉ NON PLUS
65,NEUF SANS ÉTIQUETTE,PHILIPP PLEIN,XXL,2022-04-09,T SHIRT PHILIPP PLEIN XXL,135.0,"T SHIRT NERA CON BRILLANTINI PHILIPP PLEIN UOMO , COME NUOVA MESSA DUE VOLTE XXL"
66,NEUF SANS ÉTIQUETTE,OFF-WHITE,M,2022-04-09,T-SHIRT OFF-WHITE,125.0,"MAGLIETTA CON STAMPA DI OFF-WHITE, USATA POCHISSIME VOLTE IN ECCELLENTI CONDIZIONI."
67,NEUF AVEC ÉTIQUETTE,PALM ANGELS,XS,2022-03-26,T-SHIRT PALM ANGELS,150.0,T-SHIRT PALM ANGELS NEUF
68,BON ÉTAT,PHILIPP PLEIN,S,2022-04-03,PILIPP PLEIN T-SHIRT,80.0,PHILIPP PLEIN T-SHIRT
69,NEUF SANS ÉTIQUETTE,AMIRI,M,2022-03-18,AMIRI OVERSIZED TIE DYE T-SHIRT SIZE M AUTHENTIC,200.0,"NEW AMIRI TIE DYE T-SHIRT SIZE M AUTHENTIC
BRAND NEW AND NEVER WORN"
70,NEUF SANS ÉTIQUETTE,CHARHARTT,M,2022-04-06,T-SHIRT CHARHARRT,15.0,"VENDO T-SHIRT CHAHARTT NUOVA, USATA SOLO UNA VOLTA, VENDO PER TAGLIA SBAGLIATA. 
VESTE PIÙ GRANDE DI UNA M, IL VIOLA È PIÙ SCURO DAL VIVO."
71,NEUF AVEC ÉTIQUETTE,PHILIPP PLEIN,S,2022-03-31,T-SHIRT CAMOUFLAGE,130.0,BELLISSIMA T-SHIRT PHILIPP PLEIN MAI INDOSSATA CAUSA TAGLIA SBAGLIATA
72,BON ÉTAT,PHILIPP PLEIN,S,2022-04-03,PHILIPP PLEIN T-SHIRT,100.0,PHILIPP PLEIN T-SHIRT
73,NEUF AVEC ÉTIQUETTE,SAINT LAURENT,L,2022-04-01,T-SHIRT SAINT LAUREN,170.0,"ARTICOLO NUOVO, MAI INDOSSATO, LO VENDO PERCHÉ TROPPO GRANDE PER ME. È UNA TAGLIA L. 

PREZZO 200 TRATTABILE"
74,NEUF AVEC ÉTIQUETTE,OLYMPIQUE MARSEILLE,M,2022-04-04,T SHIRT BLEU MARINE OLYMPIQUE MARSEILLE,10.0,"T-SHIRT OLYMPIQUE DE MARSEILLE BLEU MARINE 
TAILLE 2 
NEUF AVEC ÉTIQUETTE ET EMBALLAGE 

#TSHIRT 
#TSHIRTHOMME 
#OM #OLYMPIQUEDEMARSEILLE 
#CHEZFRAISINETTETAILLE38 
#CHEZFRAISINETTETAILLE38HOMME 
#CLIMACOOL"
75,NEUF SANS ÉTIQUETTE,DSQUARED2,S,2022-03-17,T-SHIRT DSQUARED2,250.0,"JAMAIS PORTÉ, #DSQUARED2 #NOUVELLECOLLECTION #TSHIRTHOMME #ÉTÉ"
76,TRÈS BON ÉTAT,TOMMY HILFIGER,M,2022-04-09,T-SHIRT HOMEM,13.0,"COMO NOVA. EM MUITO BOM ESTADO.
USADA UMAS DUAS / TRES VEZES."
77,NEUF AVEC ÉTIQUETTE,PALM ANGELS,L,2022-04-09,T-SHIRT PALM ANGELS,105.0,"NEW T-SHIRT PALM ANGELS « LOGO ». NEVER WEAR. L SIZE. 

DESCIPION : SHORTS SLEEVES T-SHIRT IN BLACK WITH ""PALM ANGELS"" LOGO PRINTED IN WHITE AT COLLAR AND AT BACK. CREWNECK COLLAR. OVERSIZE FIT."
78,TRÈS BON ÉTAT,JUST CAVALLI,M / 38 / 10,2022-04-09,T-SHIRT JUST CAVALLI VERDE MILITARE,26.0,"PARTICOLARISSIMA T-SHIRT JUST CAVALLI VERDE MILITARE CON RICAMO APPLICATO SUL DAVANTI E DISEGNO CARINISSIMO SUL RETRO !! INDOSSATA UNA SOLA VOLTA, COME NUOVA"
79,NEUF SANS ÉTIQUETTE,JACK & JONES,S,2022-03-27,T-SHIRT,3.0,JAMAIS PORTÉ
80,TRÈS BON ÉTAT,NIKE,L,2022-04-09,T-SHIRT VINTAGE NIKE SWOOSH BLANC,43.0,"T-SHIRT VINTAGE NIKE SWOOSH BLANC

TAILLE L

TRÈS BON ÉTAT"
81,TRÈS BON ÉTAT,NOBRAND,M,2022-04-07,T-SHIRT NERA CON TESCHIO,45.0,T-SHIRT NERA CON TESCHIO MCQUEEN
82,TRÈS BON ÉTAT,LACOSTE,M,2022-04-07,T-SHIRT LACOSTE,28.0,"T-SHIRT LACOSTE

-》TAILLE M
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#LACOSTE"
83,NEUF AVEC ÉTIQUETTE,APRIL VINTAGE,TAILLE UNIQUE,2022-04-07,T-SHIRT FEMME « MADEMOISELLE EN BASKETS » NEUF,20.0,"T-SHIRT FEMME « MADEMOISELLE EN BASKETS » NEUF AVEC ÉTIQUETTE
INSCRIPTION VERT OU BLEU AU CHOIX
COL V
TU (M/L)

95% COTON - 5% ÉLASTHANNE

#TSHIRT #TSHIRTFEMME #MADEMOISELLEENBASKETS #TSHIRTINSCRIPTION 
#NEUF #TSHIRTNEUFAVECETIQUETTE"
84,NEUF AVEC ÉTIQUETTE,CHAMPION,M,2022-04-09,T-SHIRT CHAMPION,25.0,"❇️T-SHIRT CHAMPION NEUF ACHETER AVEC ÉTIQUETTE ❇️

ACHETER 40E"
85,NEUF SANS ÉTIQUETTE,CAMBODGE,M,2022-04-07,T-SHIRT DE CAMBODGE,8.0,"T-SHIRT TAILLE M, COULEUR JAUNE/BEIGE CRÈME , PETITE IMPRESSION BLEU FONCÉ CAMBODGE, 100% COTON, MADE IN CAMBODIA, NEUF AVEC EMBALLAGE"
86,TRÈS BON ÉTAT,RALPH LAUREN,M,2022-04-06,T-SHIRT RALPH LAUREN,28.0,"T-SHIRT RALPH LAUREN 

-》TAILLE M
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
87,TRÈS BON ÉTAT,SUPERDRY,M,2022-04-07,T-SHIRT BLU SUPERDRY,28.0,T-SHIRT BLU SUPERDRY.....STUPENDA
88,NEUF SANS ÉTIQUETTE,KTM,L,2022-04-06,T-SHIRT KTM RACING,20.0,"T-SHIRT KTM X RED BULL RACING 
ACHETER EN CONCESSION KTM.
ESSAYER 1 FOIS MAIS TROP GRAND POUR MOI ÉTAT NEUF !"
89,TRÈS BON ÉTAT,RALPH LAUREN,S / 36 / 8,2022-04-07,T-SHIRT RALPH LAUREN,28.0,"T-SHIRT RALPH LAUREN

-》TAILLE S
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN 24/48 H MAXIMUM 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
90,TRÈS BON ÉTAT,RALPH LAUREN,M,2022-04-03,T-SHIRT RALPH LAUREN,28.0,"T-SHIRT BLEU RALPH LAUREN

-》TAILLE M
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN MOINS DE 24H 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
91,NEUF SANS ÉTIQUETTE,LACOSTE,M,2022-04-05,T-SHIRT LACOSTE,35.0,PRATIQUEMENT NEUF PORTE QUELLE FOIS
92,TRÈS BON ÉTAT,RALPH LAUREN,M,2022-04-03,T-SHIRT RALPH LAUREN,28.0,"T-SHIRT RALPH LAUREN

-》TAILLE L CORRESPOND PLUS À UN M
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN MOINS DE 24H 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
93,NEUF SANS ÉTIQUETTE,NIKE AIR,M,2022-04-09,T-SHIRT,12.0,NEUF JAMAIS PORTÉ
94,TRÈS BON ÉTAT,CARHARTT,S,2022-04-07,T-SHIRT CARHARTT,30.0,"➡️ T-SHIRT CARHARTT RAYÉ 

🌵MARQUE : CARHARTT 

📐TAILLE : S

👔ÉTAT : TRÈS BON ÉTAT 

🌈COULEUR : BLANC/VERT/ROUGE

💰PRIX : 30€

🏎 ENVOIE RAPIDE 

💎COLIS SOIGNÉ 

🎁 ACHAT EN LOT = PRIX TRÈS INTÉRESSANT 

⚠️ MP PLUS D’INFOS 💡"
95,NEUF SANS ÉTIQUETTE,NIKE,M,2022-04-09,T-SHIRT NIKE,3.0,PORTER QUELQUES FOIS
96,TRÈS BON ÉTAT,BOUTIQUE INDÉPENDANTE,TAILLE UNIQUE,2022-04-09,T-SHIRT AMOUR,17.0,"- T-SHIRT BLANC MANCHE COURTE 
- INSCRIPTION AMOUR EN ROUGE 
- COL V
100 % COTON 
TAILLE UNIQUE 
NEUF AVEC ÉTIQUETTE 🏷"
97,TRÈS BON ÉTAT,BOUTIQUE INDÉPENDANTE,TAILLE UNIQUE,2022-04-09,T-SHIRT AMOUR,17.0,"- T-SHIRT BLANC MANCHE COURTE 
- INSCRIPTION AMOUR EN ROUGE 
- COL V
100 % COTON 
TAILLE UNIQUE 
NEUF AVEC ÉTIQUETTE 🏷"
98,TRÈS BON ÉTAT,RALPH LAUREN,M / 38 / 10,2022-04-03,T-SHIRT RALPH LAUREN,28.0,"T-SHIRT GRIS RALPH LAUREN

-》TAILLE M
-》TRÈS BON ÉTAT ET SANS AUCUN DÉFAUT
-》TOUT MES VÊTEMENTS SONT AUTHENTIQUES
-》ENVOI RAPIDE EN MOINS DE 24H 🚚 
-》N'HÉSITEZ PAS À VENIR EN MP POUR FAIRE DES LOTS ✅ 

JE RESTE DISPONIBLE, N'HÉSITEZ PAS 😊 

#ALAMODE #CHIC #TENDANCE #FRIPERIEENLIGNE #FRIPERIE
#RALPHLAUREN"
