,État,Designer,Taille,En ligne depuis le,nom,prix
38,Bon état,Prada,37 IT,2022-02-19,"Chaussures baskets femme Prada 
 Taille 37 IT 
 Pointure semelle 26 cm 
 Bon état général 
 Il présente des taches 
 (Regardez la photo)Traduire","115 €
+15 € Contrôle et authentification"
39,Très bon état,Kenzo,38 EU,2021-05-02,"Chaussures /baskets Kenzo 
Matières : daim et nubuk 
Détail élastiqueTraduire",72 €
40,Bon état,Gucci,33 FR,2022-02-16,"Chaussures, baskets, chamois en daim jusqu'à la cheville et bottes gucci pour filles Les chaussures sont sans dommage, ont des signes d'utilisation normaux visibles sur la photo Taille 33 Les baskets ne sont pas isolées, les bottes sont déc...Lire la suiteTraduire","48,65 €"
41,Très bon état,Louis Vuitton,37 EU,2021-10-15,"Chaussures baskets baskets femme Louis Vuitton archlight roses. Étiquette monogramme au dos. 

Taille uk 4 eu 37

Porté quelques fois dans un état impeccable avec des sacs à poussière.

ÉDITION LIMITÉETraduire","648,88 €"
42,Jamais porté avec étiquette,Adidas,43.5 EU,2022-01-30,"Chaussures baskets 
 Fermeture à lacets 
 Tige en mesh avec revêtements en TPU 
 Semelle intérieure confortable 
 Semelle intermédiaire réactive 
 Semelle en caoutchouc 
 Nouveau, jamais porté, avec étiquetteTraduire","80 €
+15 € Contrôle et authentification"
43,Très bon état,New Balance,37 IT,2021-02-25,Chaussures basketsTraduire,30 €
44,Jamais porté,Acne Studios,44 EU,2021-09-24,"Chaussures/baskets Acne Studios Anton en cuir bleu.
RRP 390 USD
Taille 44
Neuf et jamais porté, mais avec une petite tache jaune sur la chaussure gauche à l'avant de la semelle .Traduire","228,35 €
+15 € Contrôle et authentification"
45,Bon état,Coach,41.5 EU,2022-02-07,"chaussures/baskets/baskets/outdoor Original Coach en monogramme avec C. bon état général, traces d'usure soulignées de légères craquelures comme le montrent les photos détaillées ! taille 10B équivalent à 41,5, pour éviter toute déception j...Lire la suiteTraduire",42 €
46,Jamais porté,PAUL&SHARK,38 EU,2021-12-01,"Chaussures baskets femme Paul & Shark, argent, pointure 38. 
 NEUF avec étiquette, étui et boite. Mauvais achat.Traduire",80 €
47,Très bon état,Sergio Rossi,39 IT,2021-12-18,"Rare chaussures baskets à talons hauts Puma de Sergio Rossi original nr. 39, couleur blanc glacier 
 Porté une seule fois, excellent état 
 Livré avec boite d'origine et dustbag 
Traduire",65 €
48,Jamais porté,PAUL&SHARK,38 EU,2021-12-01,"Chaussures baskets femme Paul & Shark, argent, pointure 38. 
 NEUF avec étiquette, étui et boite. Mauvais achat.Traduire",80 €
49,Très bon état,Hogan,37.5 EU,2022-01-11,"Chaussures/baskets à lacets grises et confortables dans un mélange de matières en daim, cuir, cuir verni et matière synthétique imperméable. Semelle amovible pour que les chaussures puissent également être portées avec des semelles intérieu...Lire la suiteTraduire","59 €
+15 € Contrôle et authentification"
50,Jamais porté,Hogan,36.5 EU,2021-10-21,"Chaussures baskets femme Hogan, numéro 36,5, modèle H328, en daim dans les tons marron et plateforme à rayures blanches, noires et orange, hauteur 4,5 cm, fermeture à lacets 
 Avec boite d'origine 
 Neuf jamais portéTraduire","155 €
+15 € Contrôle et authentification"
51,Très bon état,Sergio Rossi,39 IT,2021-12-18,"Rare chaussures baskets à talons hauts Puma de Sergio Rossi original nr. 39, couleur blanc glacier 
 Porté une seule fois, excellent état 
 Livré avec boite d'origine et dustbag 
Traduire",65 €
52,Très bon état,Giuseppe Zanotti,38 EU,2021-12-03,"belles chaussures baskets Zanotti en daim et cuir 
 numéro 39 taillent également 38 
 confortable 
 comme neuf 
 Traduire",150 €
53,Jamais porté,Christian Louboutin,43 EU,2022-01-19,"Nouvelles chaussures / baskets Christian Louboutin. Jamais porté, juste conservé comme pièce de collection. Conservé dans sa boîte comme neuf, tous les reçus, emballages, sacs à poussière, lacets de rechange supplémentaires et boîte inclus....Lire la suiteTraduire","766,03 €"
54,Très bon état,Hogan,36 EU,2021-03-13,"FABULEUSES chaussures / baskets Hogan 
 Daim noir et strass 
 Pointure 36 
 Superbe état. 
 Elles seraient superbes sous un short, un jean ou ce que vous voulez. Jetez un œil aux photos Traduire",60 €
55,Jamais porté,Candice Cooper,39 EU,2022-03-31,"Candice Cooper chaussures baskets en cuir fin, pointure 39 EU, neuves sans étiquette. Agréable et élégant, parfait pour la promenade quotidienne. Cuir beige fin comme des gants. Semelle intérieure 25,5 cm, plateforme 2 cm.Traduire","75 €
+15 € Contrôle et authentification"
56,Très bon état,Tod's,37.5 EU,2022-02-20,"Tod's project chaussures baskets 37.5 femme en daim bleu portées deux fois, excellent état comme le montrent les photos 
 Coupe confortable 
 Livrées sans boite d'origineTraduire",79 €
57,Très bon état,Hogan,36 EU,2022-01-13,A vendre chaussures baskets Hogan rebel en daim marron. Semelle noire. Taille 36Traduire,35 €
58,Bon état,Prada,41.5 EU,2021-10-25,"PRADA Bottines Chaussures Baskets montantes. Couleur grise. 100% cuir. Excellent état, comme on peut le voir sur les images. Coutures et couleur ok. Pas de taches. Absence de semelles intérieures.Traduire",52 €
59,Bon état,Prada,35 EU,2021-06-24,Jolie petite chaussures basket compensée prada en cuir et nubuck taille 35 portée mais encore en bonne etatTraduire,57 €
60,Très bon état,Valentino Garavani,42 IT,2022-01-23,"Valentino garavani chaussures baskets multicolore 42 
 excellentes conditions générales 
 n 42 
 avec kit d'origine 
 carte de boîte et lacets de rechange 
 Je vends pour un mauvais numéro [ [2]] valentino baskets chaussures garavaniTraduire",263 €
61,Très bon état,Liviana Conti,37 IT,2022-02-08,"Liviana conti chaussures baskets comme neuves, sans boite, bleu rose et jaune. 
 Conditions optimales. 
Traduire","65 €
+15 € Contrôle et authentification"
62,Très bon état,Tory Burch,9 US,2022-01-16,"Tory Burch chaussures baskets haute taille 9 US blanches 
 
 Excellent état, complet avec boite. Taille intérieure de la semelle 26 cm.
 
Traduire",148 €
63,Jamais porté,Saint Laurent,40 EU,2021-12-18,"Paire de chaussures baskets Yves Saint Laurent . 
En cuir noir avec des étoiles (cloutées) dessus . 
Jamais portées, neuves, avec boite, un dustbag et lacets de rechange . 
Signées Saint Laurent à l'arrière et sur la languette . 
Pointure 4...Lire la suiteTraduire",350 €
64,Correct,Dolce & Gabbana,37 EU,2022-02-08,Dolce gabbana chaussures baskets léopard taille 37Traduire,77 €
65,Jamais porté,Moschino,45 IT,2022-03-30,"Moschino Teddy pop chaussures baskets homme taille 45 avec semelle intérieure en mousse à mémoire.
 Neuf jamais utilisé, y compris boite, sac et étiquette.
 Sans facture d'achat
Packaging : Boite à chaussuresTraduire","160 €
+15 € Contrôle et authentification"
66,Bon état,Louis Vuitton,40.5 EU,2021-08-14,"Authentique paire de chaussure basket Louis Vuitton à lacets
Pointure 6,5.  40,5
Bon état
Cuir noirTraduire","160 €
+15 € Contrôle et authentification"
67,Très bon état,Yohji Yamamoto,12.5 US,2021-04-20,YOJHI YAMAMOTO ADIDAS chaussures baskets noires - utilisé quelques foisTraduire,125 €
68,Très bon état,Maison Martin Margiela,41 EU,2022-02-10,"Modèle ""RETRO FIT"" noir, chaussures baskets basses avec découpe et éraflure pour obtenir un effet usé. Collection Automne/Hiver 18. Ouverture frontale avec bande velcro et lacets. Avec boite et dustbag. Taille : 41EU. Composition : 100 % cu...Lire la suiteTraduire","225 €
+15 € Contrôle et authentification"
69,Bon état,Nike,3 UK,2022-03-28,"Nike Air Max box chaussures baskets bottines.
Portées une saison. Super confortable car ce sont des Air Max. Conception de botte rare. Pas d'emballage d'origine désoléTraduire","102,14 €
+15 € Contrôle et authentification"
70,Très bon état,P448,37 EU,2022-01-21,"P448 John White 37 EU chaussures, baskets 
 Portées seulement quelques jours, très confortables.
 Excellent état, aucun défaut. 
 Je vends parce que vous achetez pour la deuxième fois, mais à peine utilisé 
 Ils portent la taille déclarée (...Lire la suiteTraduire","50 €
+15 € Contrôle et authentification"
71,Bon état,Louis Vuitton,37 EU,2022-01-21,"Article original de notre collection :

 Chaussures Baskets Louis Vuitton Archlight Femme

Couleur : Multicolore, Matière : Tissu, détails en cuir, Taille : 37EU, 6.5US , 4UK
Etat : bon état d'usage, quelques traces d'utilisation comme...Lire la suiteTraduire",529 €
72,Bon état,Giuseppe Zanotti,37.5 IT,2022-03-03,"Porté quelques fois, je vends mes chaussures. Basket rose Je n’ai plus la factureTraduire",110 €
73,Jamais porté,Moschino,37 EU,2022-03-07,"Moschino Milano Blanc High Top Cheville Camvas Chaussures Baskets Baskets UK4/37

Marque : Moschino Milano
100 % authentique 
Matière extérieure : coton et cuir de haute qualité [ [2]]Fermeture : dentelle
Détails : imprimé Moschino Milano à...Lire la suiteTraduire","164,70 €"
74,Très bon état,Non Signé / Unsigned,38 EU,2022-03-26,Belles sandales ... super Lea Foscati !! Sandales compensées chaussures baskets ... l'été arrive !! La bonne hauteur pour ne pas tomber par terre☺️ je les ai utilisé une fois ils sont très doux mais j'ai un peu changé de style et je les por...Lire la suiteTraduire,"42 €
+15 € Contrôle et authentification"
75,Très bon état,Nike,36.5 EU,2022-01-21,"Nike Air Force 1 Shadow white 36.5 EU - Chaussures, baskets 
 comme neuves, portées seulement quelques jours 
 sans boîte extérieure d'origine
Packaging : DustbagTraduire","55 €
+15 € Contrôle et authentification"
76,Jamais porté,Gucci,7 UK,2021-10-08,"Nouvelles escarpins à enfiler en cuir noir Gucci pour hommes. Chaussures baskets basses. Toile noire et grise

Taille uk 7 eu 41Traduire","300,03 €
+15 € Contrôle et authentification"
77,Jamais porté,Christian Louboutin,41 EU,2021-08-24,"Christian Louboutin hommes flambant neuf néon jaune citron vert rantulow Orlato chaussures baskets basses plates. 
Cuir Daim pressé
Taille uk 7 Eu 41

Neuf avec boite, dustbag, lacets de rechange et facture . Petite marque près du devan...Lire la suiteTraduire","540,73 €"
78,Jamais porté,Bottega Veneta,43 EU,2022-02-09,"Baskets BOTTEGA VENETA FLASH 
État : Neuves et jamais portées 
Emballage : Boîte à chaussures 
Baskets à enfiler en cuir
Matière : 100 % cuir d'agneau
Doublure : Tissu mesh sportif Couleur : String Semelle extérieure en caoutchouc
Made in I...Lire la suiteTraduire",375 €
79,Jamais porté,Alexander McQueen,37 EU,2022-01-10,"Bottines Alexander McQueen pour femmes neuves en velours rose, cuir avec semelles oversize noires. Chaussures baskets. 

Taille uk 4 eu 37

Neuf sans boite.Traduire","408,55 €
+15 € Contrôle et authentification"
80,Jamais porté,Jimmy Choo,39 EU,2022-01-19,"SNEAKERS EN CUIR DIAMOND NOIR ROSE

Magnifique tout neuf avec étiquettes, dustbag et boîte à chaussures. Baskets Jimmy Choo 100 % authentiques.
Modèle : baskets « Diamond trail/F EHL bubble » noires/roses.
Couleur : noir électrique/rose
Mat...Lire la suiteTraduire","903,01 €
+15 € Contrôle et authentification"
81,Bon état,Hogan,40 EU,2022-01-20,"Chaussure Hogan grise avec inserts argentés...  bon état ,sauf legé jaunissement sur le bas de la chaussure, baskets de sport basses en toile fourni avec sa boîte et son dustbag . Pointure 40 EU.Traduire",45 €
82,Bon état,Dr. Martens,36 EU,2022-04-02,"Bienvenue dans ma boutique en ligne avec tous les vêtements et accessoires authentiques.
Offre du jour :
Chaussures baskets MOSCHINO
Détails :
Taille de l'étiquette : 36
Taille suggéré après mesures : 36
Matière : cuir peint 
État : BON
Cou...Lire la suiteTraduire","127,67 €
+15 € Contrôle et authentification"
83,Jamais porté,Moschino,43 IT,2022-03-20,"Bienvenue dans ma boutique en ligne avec tous les vêtements et accessoires authentiques.
Offre du jour :
Chaussures baskets MOSCHINO
Détails :
Taille de l'étiquette : 43
Taille suggéré après mesures : 43
Matière : cuir
État : NEUF, sans boî...Lire la suiteTraduire","319,18 €
+15 € Contrôle et authentification"
84,Jamais porté,Carven,39 EU,2021-04-23,"Jamais porté avec la boîte d'origine et le dustbag. Dommages cosmétiques mineurs sur la boîte à chaussures. 
 Baskets modèle Resonance en cuir verni 'imprimé marbre'.Traduire","49,79 €"
85,Jamais porté,Jimmy Choo,40 EU,2022-01-19,"BASKETS EN CUIR NOIR ROSE Jimmy Choo DIAMOND 🖤

Magnifique tout neuf avec étiquettes, dustbag et boîte à chaussures. Baskets Jimmy Choo 100 % authentiques.
Modèle : baskets « Diamond trail/F EHL bubble » noires/roses.
Couleur : noir électr...Lire la suiteTraduire","903,01 €
+15 € Contrôle et authentification"
86,Jamais porté,Adidas,41 EU,2021-07-04,"Adidas campus femme

Campus rose camouflage  

Avec boîte  

100% authentique  

Baskets adidas Originals Campus pour femme en rose glacé / marron clair / blanc chaussures Baskets de basket emblématiques qui ont influencé la mode, l...Lire la suiteTraduire",46 €
87,Jamais porté,Adidas,38 EU,2021-07-04,"Adidas campus femme

Campus rose camouflage  

Avec boîte  

100% authentique  

Baskets adidas Originals Campus pour femme en rose glacé / marron clair / blanc chaussures Baskets de basket emblématiques qui ont influencé la mode, l...Lire la suiteTraduire",46 €
88,Jamais porté,Adidas,40 EU,2021-07-04,"Adidas campus femme

Campus rose camouflage  

Avec boîte  

100% authentique  

Baskets adidas Originals Campus pour femme en rose glacé / marron clair / blanc chaussures Baskets de basket emblématiques qui ont influencé la mode, l...Lire la suiteTraduire",47 €
89,Jamais porté,Adidas,42 EU,2021-07-04,"Adidas campus femme

Campus rose camouflage  

Avec boîte  

100% authentique  

Baskets adidas Originals Campus pour femme en rose glacé / marron clair / blanc chaussures Baskets de basket emblématiques qui ont influencé la mode, l...Lire la suiteTraduire",46 €
90,Jamais porté,Adidas,40.5 EU,2021-07-04,"Adidas campus femme

Campus rose camouflage  

Avec boîte  

100% authentique  

Baskets adidas Originals Campus pour femme en rose glacé / marron clair / blanc chaussures Baskets de basket emblématiques qui ont influencé la mode, l...Lire la suiteTraduire",47 €
91,Bon état,Loeffler Randall,10 US,2022-03-18,"Restez décontracté et insouciant avec une sneaker basse à glands en cuir rose œillet lisse et détail de glands sur la tige. Un excellent article à ajouter à votre collection de chaussures !
Baskets Loeffler Randall Logan Tassel en cuir rose...Lire la suiteTraduire","94,48 €
+15 € Contrôle et authentification"
92,Très bon état,Louis Vuitton,42 EU,2022-03-09,"Taille 42, mocassin Louis Vuitton d'origine avec boite et dustbag signés. 
 En vente pour inactivité, vraiment utilisé deux fois, expédition rapide. 
 Matière : cuir, cuir, jeans 
 Couleurs : bleu et marron 
 Chaussures habillées. [[2] ...Lire la suiteTraduire",216 €
93,Jamais porté,Nike,36.5 EU,2022-03-09,"🤍Dunk Low Tow Tone Grey

🔎Etat : DS 10/10, neuves jamais portées

📏Taille : EU36.5/US4.5
📦Envoi soigné et sécurisé en double boîtes, le jour même 

N’hésitez pas à jeter un coup d’oeil à mes autres articles !😉   

#sneakers #c...Lire la suiteTraduire",180 €
94,Jamais porté,Nike,44.5 EU,2022-04-04,"❤️Nike Dunk Low Next Nature Gym Red

🔎Etat : DS 10/10, neuves jamais portées

📏Taille : EU44.5/US12
💳Achetée sur Nike

📦Envoi soigné et sécurisé en double boîtes, le jour même 

Je n’accepte pas les échanges❌.

N’hésitez pas ...Lire la suiteTraduire","300 €
+15 € Contrôle et authentification"
95,Jamais porté,Zilli,45 IT,2022-04-04,"Basket chaussure taille 45
Cuir veau Traduire",285 €
96,Très bon état,Louis Vuitton,42 EU,2022-03-09,"Taille 42, mocassin Louis Vuitton d'origine avec boite et dustbag signés. 
 En vente pour inactivité, vraiment utilisé deux fois, expédition rapide. 
 Matière : cuir, cuir, jeans 
 Couleurs : bleu et marron 
 Chaussures habillées. [[2] ...Lire la suiteTraduire",216 €
97,Jamais porté,Nike,36.5 EU,2022-03-09,"🤍Dunk Low Tow Tone Grey

🔎Etat : DS 10/10, neuves jamais portées

📏Taille : EU36.5/US4.5
📦Envoi soigné et sécurisé en double boîtes, le jour même 

N’hésitez pas à jeter un coup d’oeil à mes autres articles !😉   

#sneakers #c...Lire la suiteTraduire",180 €
98,Jamais porté,Nike,44.5 EU,2022-04-04,"❤️Nike Dunk Low Next Nature Gym Red

🔎Etat : DS 10/10, neuves jamais portées

📏Taille : EU44.5/US12
💳Achetée sur Nike

📦Envoi soigné et sécurisé en double boîtes, le jour même 

Je n’accepte pas les échanges❌.

N’hésitez pas ...Lire la suiteTraduire","300 €
+15 € Contrôle et authentification"
99,Jamais porté,Zilli,45 IT,2022-04-04,"Basket chaussure taille 45
Cuir veau Traduire",285 €
100,Jamais porté,The Row,40 IT,2022-03-20,Baskets/Chaussures The RowTraduire,300 €
